id,name,stock_id,stock_name,price,convert_value,premium_rt,rating_cd,pb,convert_amt_ratio,convert_amt_ratio2,next_put_dt,put_price,put_convert_price,maturity_dt,redeem_price,last_time,force_redeem,redeem_dt,force_redeem_price
113591,胜达转债,603687.ss,大胜达,113.54,101.71,11.63%,AA-,2.02,43.5%,15.0%,2024-07-01,100.000,6.13,2026-06-30,116.000,4.789,X,,11.39
110055,伊力转债,600197.ss,伊力特,189.13,169.53,11.56%,AA,3.48,1.9%,1.9%,2023-03-15,100.000,11.49,2025-03-15,110.000,3.496,N,,21.33
113623,凤21转债,603225.ss,新凤鸣,148.99,133.45,11.64%,AA,2.48,7.6%,7.4%,2025-04-07,100.000,11.53,2027-04-07,112.000,5.559,X,,21.41
113609,永安转债,603776.ss,永安行,115.95,103.7,11.81%,AA-,1.17,18.5%,18.4%,2024-11-25,100.000,11.54,2026-11-23,115.000,5.189,X,,21.42
123022,长信转债,300088.sz,长信科技,157.31,140.83,11.70%,AA,2.88,1.2%,1.2%,2023-03-18,100.000,4.24,2025-03-18,110.000,3.504,N,,7.87
123111,东财转3,300059.sz,东方财富,161.696,144.67,11.77%,AA+,9.08,5.5%,4.5%,2025-04-07,100.000,16.34,2027-04-06,107.000,5.556,X,,30.36
128026,众兴转债,002772.sz,众兴菌业,117.198,104.75,11.88%,AA-,1.55,13.2%,8.5%,2021-12-13,100.000,7.95,2023-12-13,106.000,2.241,X,,14.77
110045,海澜转债,600398.ss,海澜之家,121.4,108.38,12.01%,AA+,2.31,9.0%,9.0%,2022-07-13,100.000,4.93,2024-07-13,108.000,2.825,X,,9.15
128091,新天转债,002873.sz,新天药业,123.615,110.26,12.11%,A+,2.48,8.8%,8.4%,2024-01-01,100.000,11.39,2025-12-30,113.000,4.290,X,,21.15
123078,飞凯转债,300398.sz,飞凯材料,131.2,116.97,12.17%,AA,3.16,8.8%,8.7%,2024-11-26,100.000,10.89,2026-11-26,110.000,5.197,N,,18.67
128119,龙大转债,002726.sz,龙大肉食,124.72,110.98,12.38%,AA,3.10,9.2%,8.5%,2024-07-15,100.000,6.50,2026-07-12,115.000,4.822,N,,12.08
128048,张行转债,002839.sz,张家港行,119.748,106.25,12.70%,AA+,0.79,27.6%,23.2%,,,-,2024-11-12,109.000,3.159,X,,7.28
128029,太阳转债,002078.sz,太阳纸业,171.03,151.72,12.73%,AA+,1.89,2.7%,2.6%,2020-12-22,100.000,5.92,2022-12-22,106.000,1.266,X,,10.98
128037,岩土转债,002542.sz,中化岩土,113.5,100.65,12.77%,AA,1.37,13.3%,10.7%,2022-03-15,100.000,2.17,2024-03-15,108.000,2.496,X,,4.03
128078,太极转债,002368.sz,太极股份,131.0,116.07,12.86%,AA,4.22,6.5%,6.4%,2023-10-23,100.000,15.55,2025-10-21,112.000,4.099,X,,28.87
110080,东湖转债,600133.ss,东湖高新,109.01,96.53,12.93%,AA,0.80,34.2%,33.4%,2025-04-11,100.000,4.24,2027-04-12,110.000,5.573,X,,7.87
128087,孚日转债,002083.sz,孚日股份,105.312,93.11,13.10%,AA-,1.03,17.1%,17.1%,2023-12-18,100.000,3.15,2025-12-17,108.000,4.255,X,,5.85
113570,百达转债,603331.ss,百达精工,118.9,104.67,13.60%,A+,2.37,13.2%,13.2%,2024-03-11,100.000,7.94,2026-03-10,110.000,4.482,X,,14.74
128145,日丰转债,002953.sz,日丰股份,118.68,104.32,13.77%,AA-,2.92,36.1%,11.0%,2025-03-21,100.000,9.56,2027-03-22,110.000,5.515,X,,17.76
128108,蓝帆转债,002382.sz,蓝帆医疗,119.705,105.1,13.90%,AA,1.49,7.9%,7.9%,2025-05-27,100.000,12.77,2026-05-27,108.000,4.696,N,,23.71
113534,鼎胜转债,603876.ss,鼎胜新材,357.05,313.57,13.87%,AA-,5.16,1.9%,1.9%,2023-04-10,100.000,10.63,2025-04-08,110.000,3.562,N,,19.73
123050,聚飞转债,300303.sz,聚飞光电,134.397,118.11,13.79%,AA-,3.27,5.1%,4.7%,2024-04-15,100.000,3.56,2026-04-13,118.000,4.575,N,,6.60
113537,文灿转债,603348.ss,文灿股份,180.26,157.94,14.13%,AA-,2.99,1.8%,1.8%,2023-06-12,100.000,13.50,2025-06-09,115.000,3.732,N,,25.06
123061,航新转债,300424.sz,航新科技,126.499,110.77,14.20%,A+,5.49,7.6%,6.3%,2024-07-22,100.000,10.39,2026-07-21,118.000,4.847,X,,19.30
127005,长证转债,000783.sz,长江证券,126.693,110.94,14.20%,AAA,1.47,11.4%,11.4%,,,-,2024-03-12,105.000,2.488,X,,9.27
123027,蓝晓转债,300487.sz,蓝晓科技,336.106,293.76,14.42%,A+,9.94,1.0%,0.6%,2023-06-12,100.000,20.31,2025-06-10,113.000,3.734,N,,37.73
110057,现代转债,600420.ss,国药现代,116.09,101.43,14.45%,AAA,1.21,15.8%,15.8%,2023-04-01,100.000,6.85,2025-03-31,106.000,3.540,X,,12.73
127022,恒逸转债,000703.sz,恒逸石化,129.501,112.68,14.93%,AA+,1.76,4.7%,4.3%,2024-10-15,100.000,7.84,2026-10-15,105.000,5.082,X,,14.56
128140,润建转债,002929.sz,润建股份,131.698,114.96,14.56%,AA,1.96,22.2%,16.3%,2024-12-06,100.000,18.48,2026-12-04,110.000,5.219,X,,34.32
113033,利群转债,601366.ss,利群股份,103.07,89.87,14.69%,AA,1.20,34.3%,33.2%,2024-04-01,100.000,4.91,2026-03-31,110.000,4.540,X,,9.11
128090,汽模转2,002510.sz,天汽模,118.211,103.07,14.69%,AA-,1.95,7.6%,7.6%,2023-12-27,100.000,2.96,2025-12-27,110.000,4.282,X,,5.50
123062,三超转债,300554.sz,三超新材,118.66,103.39,14.77%,A,2.85,20.8%,11.7%,2024-07-26,100.000,11.99,2026-07-26,113.000,4.860,X,,22.27
123073,同和转债,300636.sz,同和药业,120.072,104.52,14.88%,A+,3.76,13.2%,11.3%,2024-10-26,100.000,10.37,2026-10-25,116.000,5.110,X,,19.27
128133,奇正转债,002287.sz,奇正藏药,116.787,101.65,14.89%,AA,4.68,5.0%,5.0%,2024-09-23,100.000,20.85,2026-09-21,112.000,5.016,X,,38.71
111000,起帆转债,605222.ss,起帆电缆,124.55,108.28,15.03%,AA-,2.75,45.0%,11.2%,2025-05-23,100.000,14.37,2027-05-24,115.000,5.688,X,,26.69
128134,鸿路转债,002541.sz,鸿路钢构,131.0,113.7,15.22%,AA,4.10,8.4%,6.0%,2024-10-08,100.000,30.46,2026-10-08,110.000,5.063,X,,56.56
128063,未来转债,002631.sz,德尔未来,117.25,101.63,15.37%,AA-,3.24,11.0%,10.8%,2024-04-03,100.000,6.02,2025-04-03,120.000,3.548,X,,11.18
113024,核建转债,601611.ss,中国核建,115.97,100.52,15.37%,AAA,1.48,11.7%,11.6%,2023-04-10,100.000,6.79,2025-04-07,105.000,3.559,X,,12.61
113548,石英转债,603688.ss,石英股份,351.0,304.09,15.43%,AA-,7.99,0.8%,0.8%,2023-10-27,100.000,10.45,2025-10-27,118.000,4.115,N,,19.41
123070,鹏辉转债,300438.sz,鹏辉能源,155.93,135.06,15.45%,AA,4.62,8.6%,6.5%,2024-10-21,100.000,14.06,2026-10-19,110.000,5.093,N,,26.10
128144,利民转债,002734.sz,利民股份,119.042,103.13,15.43%,AA,1.62,25.5%,22.2%,2025-02-28,100.000,8.05,2027-02-28,110.000,5.455,X,,14.95
113610,灵康转债,603669.ss,灵康药业,114.92,99.3,15.73%,AA-,4.34,7.5%,7.5%,2024-11-29,100.000,6.03,2026-11-30,115.000,5.208,X,,11.19
123110,九典转债,300705.sz,九典制药,122.684,105.98,15.76%,A+,6.53,6.8%,4.1%,2025-03-31,100.000,18.51,2027-03-31,115.000,5.540,X,,34.37
