bond_id,bond_nm,stock_id,stock_nm,btype,convert_price,convert_price_valid_from,convert_dt,maturity_dt,next_put_dt,put_dt,put_notes,put_price,put_inc_cpn_fl,put_convert_price_ratio,put_count_days,put_total_days,put_real_days,repo_discount_rt,repo_valid_from,repo_valid_to,turnover_rt,redeem_price,redeem_inc_cpn_fl,redeem_price_ratio,redeem_count_days,redeem_total_days,redeem_real_days,redeem_dt,redeem_flag,orig_iss_amt,curr_iss_amt,rating_cd,issuer_rating_cd,guarantor,ssc_dt,esc_dt,sc_notes,market_cd,force_redeem,real_force_redeem_price,convert_cd,repo_cd,ration,ration_cd,apply_cd,online_offline_ratio,qflag,qflag2,ration_rt,fund_rt,margin_flg,lt_bps,pb,pb_flag,total_shares,float_shares,sqflg,sprice,svolume,sincrease_rt,qstatus,bond_value,bond_value2,volatility_rate,last_time,convert_value,premium_rt,year_left,ytm_rt,ytm_rt_tax,price,full_price,increase_rt,volume,convert_price_valid,adj_scnt,adj_cnt,redeem_icon,ref_yield_info,adjust_tip,adjusted,option_tip,bond_value3,left_put_year,short_maturity_dt,dblow,force_redeem_price,put_convert_price,convert_amt_ratio,convert_amt_ratio2,convert_amt_ratio_tips,stock_net_value,stock_cd,pre_bond_id,repo_valid,convert_cd_tip,price_tips
113642,上22转债,sh603185,上机数控,C,145.66,,2022-09-07,2028-02-29,2026-03-02,,,100.000,y,59.15,30,30,0,0.00,,,,112.000,n,130.000,15,30,0,,X,24.700,24.700,AA-,AA-,无,,,,shmb,,,未到转股期,113642,8.9740,753185,754185,,N,N,84.690,-,R,,6.66,N,275225954.0,273363914.0,Y,172.38,185598.49,7.00%,00,buy,buy,buy,,118.34,-15.50%,5.978,2.72%,2.20%,100.000,100.000,0.00%,0.00,Y,0,0,,-,,N,-,buy,-,28-02-29,84.50,189.36,101.96,5.2%,5.2%,"转债占流动市值比：5.2%
转债占总市值比：5.2%",0.00,603185,sh113642,有效期：-；质押代码：113642,未到转股期；2022-09-07 开始转股,待上市
110085,通22转债,sh600438,通威股份,C,39.27,,2022-09-02,2028-02-23,2026-02-23,,,100.000,y,60.40,30,30,0,0.00,,,,109.000,n,130.000,15,30,0,,X,120.000,120.000,AA+,AA+,无,,,,shmb,,,未到转股期,110085,2.6650,704438,733438,,N,N,81.490,-,R,,5.81,N,4501548184.0,4501548184.0,Y,45.51,405889.10,4.98%,00,buy,buy,buy,,115.89,-13.71%,5.962,2.18%,1.75%,100.000,100.000,0.00%,0.00,Y,0,0,,-,,N,-,buy,-,28-02-23,86.29,51.05,27.49,5.9%,5.9%,"转债占流动市值比：5.9%
转债占总市值比：5.9%",0.00,600438,sh110085,有效期：-；质押代码：110085,未到转股期；2022-09-02 开始转股,待上市
127057,盘龙转债,sz002864,盘龙药业,C,26.59,,2022-09-09,2028-03-02,2026-03-02,,,100.000,y,65.70,30,30,0,0.00,,,,115.000,n,130.000,15,30,0,,X,2.760,2.760,A+,A+,公司实际控制人谢晓林提供保证担保,,,,szmb,,,未到转股期,127057,3.2264,082864,072864,,N,N,80.320,-,,,3.18,N,86670000.0,55299863.0,Y,28.33,9173.56,10.02%,00,buy,buy,buy,,106.54,-6.14%,5.984,3.38%,2.73%,100.000,100.000,0.00%,0.00,Y,0,0,,-,,N,-,buy,-,28-03-02,93.86,34.57,18.61,17.6%,11.2%,"转债占流动市值比：17.6%
转债占总市值比：11.2%",0.00,002864,sz127057,有效期：-；质押代码：127057,未到转股期；2022-09-09 开始转股,待上市
123140,天地转债,sz300743,天地数码,C,12.47,,2022-09-19,2028-03-13,2026-03-16,,,100.000,y,69.00,30,30,0,,,,,112.000,n,130.000,15,30,0,,X,1.720,1.720,A,A,无,,,,szcy,,,未到转股期,123140,1.2446,380743,370743,,N,N,,-,,,4.59,N,138190126.0,98171508.0,Y,12.65,4593.39,7.66%,00,buy,buy,buy,,101.44,-1.42%,6.000,2.92%,2.36%,100.000,100.000,0.00%,0.00,Y,0,0,,-,,N,-,buy,-,28-03-13,98.58,16.21,8.73,13.9%,9.8%,"转债占流动市值比：13.9%
转债占总市值比：9.8%",0.00,300743,sz123140,有效期：-；质押代码：123140,未到转股期；2022-09-19 开始转股,待上市
123078,飞凯转债,sz300398,飞凯材料,C,15.56,2021-05-31,2021-06-03,2026-11-26,2024-11-26,,,100.000,y,35.38,30,30,0,0.00,,,93.56,110.000,n,120.000,15,30,0,,N,8.250,7.092,AA,AA,无担保,,,,szcy,2022年2月22日公告：本次（2022年1月25日至2022年2月21日）不提前赎回，至2022年3月31日均不提前赎回,,123078,123078,1.5992,380398,370398,,N,N,35.740,buy,R,,5.19,N,522186201.0,515927321.0,Y,30.79,86180.75,2.80%,00,buy,buy,buy,13:26:12,197.88,-0.60%,4.718,-10.94%,-11.41%,196.695,196.695,3.22%,128754.48,Y,1,1,G,-,,N,-,buy,-,26-11-26,196.09,18.67,10.89,4.5%,4.4%,"转债占流动市值比：4.5%
转债占总市值比：4.4%",0.00,300398,sz123078,有效期：-；质押代码：123078,123078；2021-06-03 开始转股,全价：196.695 最后更新：13:26:12
128106,华统转债,sz002840,华统股份,C,9.37,2021-06-30,2020-10-16,2026-04-09,2024-04-09,,,100.000,y,39.00,30,30,0,0.00,,,17.23,108.000,n,130.000,15,30,0,,N,5.500,3.699,AA,AA,连带责任保证,,,,szmb,2021年12月25日公告：本次（2021年12月6日至2021年12月24日）不提前赎回，至2022年6月26日均不提前赎回,,128106,128106,1.9826,082840,072840,,N,N,67.140,buy,,,4.41,N,456240764.0,444778364.0,Y,16.82,6048.27,1.88%,00,buy,buy,buy,13:26:12,179.51,-0.38%,4.085,-10.85%,-11.32%,178.834,178.834,2.33%,11469.73,Y,0,0,G,-,,N,-,buy,-,26-04-09,178.45,12.18,6.56,4.9%,4.8%,"转债占流动市值比：4.9%
转债占总市值比：4.8%",0.00,002840,sz128106,有效期：-；质押代码：128106,128106；2020-10-16 开始转股,全价：178.834 最后更新：13:26:12
110066,盛屯转债,sh600711,盛屯矿业,C,4.87,2021-07-14,2020-09-07,2026-03-02,2024-03-01,,,100.000,y,34.68,30,30,0,0.00,,,267.33,110.000,n,130.000,15,30,27,2022-03-17,Y,23.860,1.849,AA,AA,无担保,,,,shmb,"最后交易日：2022年3月17日
最后转股日：2022年3月17日
赎回价：100.044元/张",100.044,110066,110066,1.0330,704711,733711,,N,N,33.540,buy,R,,2.17,N,2747143184.0,2605882223.0,Y,9.83,123564.76,-1.21%,00,buy,buy,buy,13:26:15,201.85,-0.21%,3.981,-13.45%,-13.97%,201.420,201.420,1.89%,99895.44,Y,0,0,R,-,,N,-,buy,-,26-03-02,201.21,6.33,3.41,0.7%,0.7%,"转债占流动市值比：0.7%
转债占总市值比：0.7%",0.00,600711,sh110066,有效期：-；质押代码：110066,110066；2020-09-07 开始转股,全价：201.420 最后更新：13:26:15
123024,岱勒转债,sz300700,岱勒新材,C,14.10,2021-06-01,2019-09-27,2024-03-21,2022-03-21,,,100.000,y,50.33,30,30,0,0.00,,,131.25,110.000,n,130.000,15,30,17,2022-03-21,Y,2.100,1.203,A+,A+,无担保,,,,szcy,"最后交易日：2022年3月21日
最后转股日：2022年3月21日
赎回价：100.004元/张",100.004,123024,123024,2.5485,380700,370700,,N,N,55.940,buy,,,4.07,N,107137593.0,74276829.0,Y,19.61,10572.96,2.14%,00,buy,buy,buy,13:26:12,139.08,-0.16%,2.033,-9.97%,-10.94%,138.853,138.853,2.76%,22135.33,Y,1,1,R,-,,N,-,buy,-,24-03-21,138.69,18.33,9.87,8.3%,5.7%,"转债占流动市值比：8.3%
转债占总市值比：5.7%",0.00,300700,sz123024,有效期：-；质押代码：123024,123024；2019-09-27 开始转股,全价：138.853 最后更新：13:26:12
118002,天合转债,sh688599,天合光能,C,50.40,2022-02-21,2022-02-21,2027-08-12,2025-08-12,,,100.000,y,46.68,30,30,0,0.00,,,13.17,115.000,n,130.000,15,30,10,,X,52.520,47.436,AA,AA,无,,,,shkc,,,118002,118002,2.5400,726599,718599,,N,N,63.350,buy,R,,9.57,N,2073748929.0,1219376407.0,Y,75.58,150659.41,4.25%,00,buy,buy,buy,13:26:13,149.96,-0.11%,5.427,-4.05%,-4.65%,149.790,149.790,4.14%,93656.23,Y,0,0,,-,,N,-,buy,-,27-08-12,149.68,65.52,35.28,5.1%,3.0%,"转债占流动市值比：5.1%
转债占总市值比：3.0%",0.00,688599,sh118002,有效期：-；质押代码：118002,118002；2022-02-21 开始转股,全价：149.790 最后更新：13:26:13
123073,同和转债,sz300636,同和药业,C,14.82,2021-05-18,2021-05-06,2026-10-25,2024-10-26,,,100.000,y,47.35,30,30,0,0.00,,,39.19,116.000,n,130.000,20,30,0,,N,3.600,3.581,A+,A+,无担保,,,,szcy,2022年2月17日公告：本次（2022年1月13日至2022年2月17日）不提前赎回，至2022年6月17日均不提前赎回,,123073,123073,2.7989,380636,370636,,N,N,70.695,buy,,,5.17,N,205921683.0,169042952.0,Y,21.91,3577.13,6.41%,00,buy,buy,buy,13:26:12,147.84,0.11%,4.630,-4.19%,-4.94%,148.001,148.001,6.99%,20667.98,Y,1,1,G,-,,N,-,buy,-,26-10-25,148.11,19.27,10.37,9.7%,7.9%,"转债占流动市值比：9.7%
转债占总市值比：7.9%",0.00,300636,sz123073,有效期：-；质押代码：123073,123073；2021-05-06 开始转股,全价：148.001 最后更新：13:26:12
