bond_id,bond_nm,stock_id,stock_nm,btype,convert_price,convert_price_valid_from,convert_dt,maturity_dt,next_put_dt,put_dt,put_notes,put_price,put_inc_cpn_fl,put_convert_price_ratio,put_count_days,put_total_days,put_real_days,repo_discount_rt,repo_valid_from,repo_valid_to,turnover_rt,redeem_price,redeem_inc_cpn_fl,redeem_price_ratio,redeem_count_days,redeem_total_days,redeem_real_days,redeem_dt,redeem_flag,orig_iss_amt,curr_iss_amt,rating_cd,issuer_rating_cd,guarantor,ssc_dt,esc_dt,sc_notes,market_cd,force_redeem,real_force_redeem_price,convert_cd,repo_cd,ration,ration_cd,apply_cd,online_offline_ratio,qflag,qflag2,ration_rt,fund_rt,margin_flg,lt_bps,pb,pb_flag,total_shares,float_shares,sqflg,sprice,svolume,sincrease_rt,qstatus,bond_value,bond_value2,volatility_rate,last_time,convert_value,premium_rt,year_left,ytm_rt,ytm_rt_tax,price,full_price,increase_rt,volume,convert_price_valid,adj_scnt,adj_cnt,redeem_icon,ref_yield_info,adjust_tip,adjusted,option_tip,bond_value3,left_put_year,short_maturity_dt,dblow,force_redeem_price,put_convert_price,convert_amt_ratio,convert_amt_ratio2,convert_amt_ratio_tips,stock_net_value,stock_cd,pre_bond_id,repo_valid,convert_cd_tip,price_tips
113051,节能转债,sh601016,节能风电,C,4.05,,2021-12-27,2027-06-21,2025-06-20,,,100.000,y,39.27,30,30,0,0.00,,,68.03,110.000,n,130.000,15,30,0,,X,30.000,30.000,AA+,AA+,无担保,,,,shmb,,,未到转股期,113051,0.5980,764016,783016,,N,N,63.210,buy,R,,3.45,N,5013052000.0,4480441681.0,Y,7.22,320713.57,7.12%,00,buy,buy,buy,15:00:00,178.27,-8.13%,5.693,-6.17%,-6.58%,163.780,163.780,1.87%,329010.85,Y,0,0,,-,,N,-,buy,-,27-06-21,155.65,5.26,2.83,9.3%,8.3%,"转债占流动市值比：9.3%
转债占总市值比：8.3%",0.00,601016,sh113051,有效期：-；质押代码：113051,未到转股期；2021-12-27 开始转股,全价：163.780 最后更新：15:00:00
127027,靖远转债,sz000552,靖远煤电,C,3.13,2021-10-12,2021-06-16,2026-12-09,2024-12-09,,,100.000,y,53.18,30,30,0,0.00,,,42.30,110.000,n,130.000,15,30,3,,X,28.000,27.992,AA+,AA+,无担保,,,,szmb,,,127027,127027,1.2243,080552,070552,,N,N,35.200,buy,R,,1.12,N,2286971050.0,2283741262.0,Y,4.12,72074.99,-2.14%,00,buy,buy,buy,15:14:03,131.63,-2.78%,5.162,-2.04%,-2.55%,127.966,127.966,0.15%,149447.72,Y,0,0,,-,,N,-,buy,-,26-12-09,125.19,4.07,2.19,29.8%,29.7%,"转债占流动市值比：29.8%
转债占总市值比：29.7%",0.00,000552,sz127027,有效期：-；质押代码：127027,127027；2021-06-16 开始转股,全价：127.966 最后更新：15:14:03
113048,晶科转债,sh601778,晶科科技,C,5.48,2021-06-21,2021-10-29,2027-04-22,2025-04-22,,,100.000,y,51.42,30,30,0,0.00,,,15.03,112.000,n,130.000,15,30,0,,X,30.000,30.000,AA,AA,无,,,,shmb,,,未到转股期,113048,1.0840,764778,783778,,N,N,37.350,buy,,,1.77,N,2765501922.0,1741192922.0,Y,7.46,50879.97,-3.74%,00,buy,buy,buy,14:59:59,136.13,-1.88%,5.529,-2.39%,-2.91%,133.570,133.570,-4.56%,60735.04,Y,1,1,,-,,N,-,buy,-,27-04-22,131.69,7.12,3.84,23.1%,14.5%,"转债占流动市值比：23.1%
转债占总市值比：14.5%",0.00,601778,sh113048,有效期：-；质押代码：113048,未到转股期；2021-10-29 开始转股,全价：133.570 最后更新：14:59:59
110041,蒙电转债,sh600863,内蒙华电,C,2.56,2021-06-25,2018-06-28,2023-12-21,2021-12-21,,,100.000,y,38.37,30,30,0,0.99,2021-10-13,2021-10-13,486.52,106.000,n,130.000,15,30,19,,Y,18.752,8.620,AAA,AAA,无担保,,,,shmb,,,110041,110041,0.3220,704863,733863,,N,N,3.720,buy,R,,1.99,Y,6136212939.0,6136212939.0,Y,4.67,261589.89,1.30%,00,buy,buy,buy,15:00:00,182.42,-1.72%,2.192,-20.52%,-21.09%,179.280,179.280,3.76%,754247.24,Y,0,0,O,-,,N,-,buy,-,23-12-21,177.56,3.33,1.79,3.0%,3.0%,"转债占流动市值比：3.0%
转债占总市值比：3.0%",0.00,600863,sh110041,有效期：2021-10-13 到 2021-10-13；质押代码：110041,110041；2018-06-28 开始转股,全价：179.280 最后更新：15:00:00
123067,斯莱转债,sz300382,斯莱克,C,9.36,2021-06-30,2021-03-23,2026-09-16,2024-09-16,,,100.000,y,26.92,30,30,0,0.00,,,279.46,115.000,n,130.000,15,30,30,,N,3.880,2.916,AA-,AA-,无担保,,,,szcy,2021年8月24日公告：本次（2021年2月24日至2021年8月23日）不行使提前赎回权利，至2021年11月24日均不提前赎回,,123067,123067,0.6940,380382,370382,,N,N,19.960,buy,,,12.60,N,573805707.0,573747882.0,Y,24.34,63238.25,4.73%,00,buy,buy,buy,15:14:03,260.04,-1.55%,4.932,-14.34%,-14.92%,256.000,256.000,4.51%,222757.82,Y,0,0,G,-,,N,-,buy,-,26-09-16,254.45,12.17,6.55,2.1%,2.1%,"转债占流动市值比：2.1%
转债占总市值比：2.1%",0.00,300382,sz123067,有效期：-；质押代码：123067,123067；2021-03-23 开始转股,全价：256.000 最后更新：15:14:03
120004,20华菱EB,sz000932,华菱钢铁,E,4.92,,2021-08-26,2025-01-08,2024-01-09,,,100.000,y,56.09,30,30,0,0.83,2021-10-13,2021-10-13,5.00,110.000,y,130.000,15,30,26,2021-10-21,Y,15.000,9.722,AAA,AAA,,,,,szmb,"最后交易日；2021年10月21日
最后转股日：2021年10月21日
赎回价：100.7836元/张",100.784,120004,120004,,,,,Q,Q,,buy,R,,1.06,N,6908632499.0,5717943441.0,Y,6.14,107946.86,-4.95%,00,buy,buy,buy,15:14:03,124.80,-1.52%,3.244,-2.33%,-3.08%,122.900,122.900,-5.97%,6059.20,Y,0,0,R,-,,N,-,buy,-,25-01-08,121.38,6.40,3.44,2.8%,2.3%,"转债占流动市值比：2.8%
转债占总市值比：2.3%",0.00,000932,sz120004,有效期：2021-10-13 到 2021-10-13；质押代码：120004,120004；2021-08-26 开始转股,全价：122.900 最后更新：15:14:03
120003,19华菱EB,sz000932,华菱钢铁,E,4.47,,2021-08-26,2024-11-22,2023-11-24,,,100.000,y,50.96,30,30,0,0.91,2021-10-13,2021-10-13,1.76,110.000,y,130.000,15,30,27,2021-10-21,Y,20.000,10.879,AAA,AAA,华菱钢铁A股股票及其孳息,,,,szmb,"最后交易日：2021年10月21日
最后转股日；2021年10月21日
赎回价：100.9068元/张",100.907,120003,120003,,,,,Q,Q,,buy,R,,1.06,N,6908632499.0,5717943441.0,Y,6.14,107946.86,-4.95%,00,buy,buy,buy,15:14:03,137.36,-1.21%,3.115,-5.53%,-6.27%,135.700,135.700,-5.69%,2635.62,Y,0,0,R,-,,N,-,buy,-,24-11-22,134.49,5.81,3.13,3.1%,2.6%,"转债占流动市值比：3.1%
转债占总市值比：2.6%",0.00,000932,sz120003,有效期：2021-10-13 到 2021-10-13；质押代码：120003,120003；2021-08-26 开始转股,全价：135.700 最后更新：15:14:03
128096,奥瑞转债,sz002701,奥瑞金,C,4.50,2021-06-09,2020-08-17,2026-02-11,2024-02-12,,,100.000,y,47.09,30,30,0,0.00,,,23.47,110.000,n,130.000,15,30,20,,N,10.870,5.936,AA+,AA+,无担保,,,,szmb,2021年9月16日公告：本次（2021年8月11日至2021年9月14日）不提前赎回奥瑞转债，至2021年12月31日均不提前赎回,,128096,128096,0.4614,082701,072701,,N,N,58.210,buy,R,,2.29,N,2425967213.0,2423753337.0,Y,6.69,73221.73,-5.51%,00,buy,buy,buy,15:14:03,148.67,-1.16%,4.337,-5.52%,-6.10%,146.944,146.944,-6.29%,21092.46,Y,0,0,G,-,,N,-,buy,-,26-02-11,145.78,5.85,3.15,3.7%,3.7%,"转债占流动市值比：3.7%
转债占总市值比：3.7%",0.00,002701,sz128096,有效期：-；质押代码：128096,128096；2020-08-17 开始转股,全价：146.944 最后更新：15:14:03
123102,华自转债,sz300490,华自科技,C,9.25,2021-07-26,2021-09-22,2027-03-11,2025-03-11,,,100.000,y,33.57,30,30,0,0.00,,,70.88,119.000,n,130.000,15,30,10,,X,6.700,3.907,AA-,AA-,无,,,,szcy,,,123102,123102,2.6154,380490,370490,,N,N,18.610,buy,,,2.90,N,285981037.0,279367892.0,Y,19.29,51527.68,-6.36%,00,buy,buy,buy,15:14:03,208.54,-1.14%,5.414,-8.75%,-9.46%,206.172,206.172,-7.55%,58311.00,Y,0,0,,-,,N,-,buy,-,27-03-11,205.03,12.03,6.47,7.2%,7.1%,"转债占流动市值比：7.2%
转债占总市值比：7.1%",0.00,300490,sz123102,有效期：-；质押代码：123102,123102；2021-09-22 开始转股,全价：206.172 最后更新：15:14:03
123083,朗新转债,sz300682,朗新科技,C,15.40,2021-09-17,2021-06-15,2026-12-08,2024-12-09,,,100.000,y,46.11,30,30,0,0.00,,,22.28,110.000,n,130.000,15,30,22,,N,8.000,7.686,AA,AA,无担保,,,,szcy,2021年9月24日公告：本次（2021年8月12日至2021年9月24日）本次不行使提前赎回权利，不提前赎回,,123083,123083,0.7833,380682,370682,,N,N,77.260,buy,,,4.48,N,1031953050.0,717930617.0,Y,23.38,30060.75,-4.77%,00,buy,buy,buy,15:14:03,151.82,-1.00%,5.159,-5.13%,-5.61%,150.300,150.300,-5.17%,26249.21,Y,0,0,G,-,,N,-,buy,-,26-12-08,149.30,20.02,10.78,4.6%,3.2%,"转债占流动市值比：4.6%
转债占总市值比：3.2%",0.00,300682,sz123083,有效期：-；质押代码：123083,123083；2021-06-15 开始转股,全价：150.300 最后更新：15:14:03
