bond_id,bond_nm,stock_id,stock_nm,btype,convert_price,convert_price_valid_from,convert_dt,maturity_dt,next_put_dt,put_dt,put_notes,put_price,put_inc_cpn_fl,put_convert_price_ratio,put_count_days,put_total_days,put_real_days,repo_discount_rt,repo_valid_from,repo_valid_to,turnover_rt,redeem_price,redeem_inc_cpn_fl,redeem_price_ratio,redeem_count_days,redeem_total_days,redeem_real_days,redeem_dt,redeem_flag,orig_iss_amt,curr_iss_amt,rating_cd,issuer_rating_cd,guarantor,ssc_dt,esc_dt,sc_notes,market_cd,force_redeem,real_force_redeem_price,convert_cd,repo_cd,ration,ration_cd,apply_cd,online_offline_ratio,qflag,qflag2,ration_rt,fund_rt,margin_flg,lt_bps,pb,pb_flag,total_shares,float_shares,sqflg,sprice,svolume,sincrease_rt,qstatus,bond_value,bond_value2,volatility_rate,last_time,convert_value,premium_rt,year_left,ytm_rt,ytm_rt_tax,price,full_price,increase_rt,volume,convert_price_valid,adj_scnt,adj_cnt,redeem_icon,ref_yield_info,adjust_tip,adjusted,option_tip,bond_value3,left_put_year,short_maturity_dt,dblow,force_redeem_price,put_convert_price,convert_amt_ratio,convert_amt_ratio2,convert_amt_ratio_tips,stock_net_value,stock_cd,pre_bond_id,repo_valid,convert_cd_tip,price_tips
127052,杭锅转债,sz002534,杭锅股份,C,28.08,,2022-06-30,2027-12-23,2025-12-23,,,100.000,y,60.29,30,30,0,0.00,,,,110.000,n,130.000,15,30,0,,X,11.100,11.100,AA,AA,无,,,,szmb,,,未到转股期,127052,1.5445,082534,072534,,N,N,72.180,-,,,6.98,N,739201050.0,725645705.0,Y,32.60,17416.59,1.53%,00,buy,buy,buy,,116.10,-13.87%,5.948,2.44%,1.96%,100.000,100.000,0.00%,0.00,Y,0,0,,-,,N,-,buy,-,27-12-23,86.13,36.50,19.66,4.7%,4.6%,"转债占流动市值比：4.7%
转债占总市值比：4.6%",0.00,002534,sz127052,有效期：-；质押代码：127052,未到转股期；2022-06-30 开始转股,待上市
123135,泰林转债,sz300813,泰林生物,C,87.38,,2022-07-04,2027-12-27,2025-12-29,,,100.000,y,63.17,30,30,0,0.00,,,,115.000,n,130.000,15,30,0,,X,2.100,2.100,A+,A+,无,,,,szcy,,,未到转股期,123135,4.0407,380813,370813,,N,N,78.220,-,,,10.37,N,51970000.0,16277000.0,Y,96.82,9463.73,2.24%,00,buy,buy,buy,,110.80,-9.75%,5.959,3.40%,2.75%,100.000,100.000,0.00%,0.00,Y,0,0,,-,,N,-,buy,-,27-12-27,90.25,113.59,61.17,13.3%,4.2%,"转债占流动市值比：13.3%
转债占总市值比：4.2%",0.00,300813,sz123135,有效期：-；质押代码：123135,未到转股期；2022-07-04 开始转股,待上市
113637,华翔转债,sh603112,华翔股份,C,12.99,,2022-06-28,2027-12-22,2025-12-22,,,100.000,y,65.51,30,30,0,0.00,,,,115.000,n,130.000,15,30,0,,X,8.000,8.000,AA-,AA-,无,,,,shmb,,,未到转股期,113637,1.8300,753112,754112,,N,N,77.900,-,,,3.05,N,436090490.0,153864926.0,Y,13.88,5833.32,1.24%,00,buy,buy,buy,,106.85,-6.41%,5.945,3.32%,2.69%,100.000,100.000,0.00%,0.00,Y,0,0,,-,,N,-,buy,-,27-12-22,93.59,16.89,9.09,37.5%,13.2%,"转债占流动市值比：37.5%
转债占总市值比：13.2%",0.00,603112,sh113637,有效期：-；质押代码：113637,未到转股期；2022-06-28 开始转股,待上市
123133,佩蒂转债,sz300673,佩蒂股份,C,19.92,,2022-06-28,2027-12-21,2025-12-22,,,100.000,y,69.51,30,30,0,0.00,,,,115.000,n,130.000,15,30,0,,X,7.200,7.200,AA-,AA-,无,,,,szcy,,,未到转股期,123133,2.8412,380673,370673,,N,N,81.350,-,,,3.05,N,253411200.0,162384480.0,Y,20.06,8525.11,2.66%,00,buy,buy,buy,,100.70,-0.70%,5.942,3.25%,2.63%,100.000,100.000,0.00%,0.00,Y,0,0,,-,,N,-,buy,-,27-12-21,99.30,25.90,13.94,22.1%,14.2%,"转债占流动市值比：22.1%
转债占总市值比：14.2%",0.00,300673,sz123133,有效期：-；质押代码：123133,未到转股期；2022-06-28 开始转股,待上市
113026,核能转债,sh601985,中国核电,C,5.73,2021-07-16,2019-10-21,2025-04-14,2023-04-17,,,100.000,y,53.98,30,30,0,0.84,2022-01-13,2022-01-13,5.24,105.000,n,130.000,15,30,14,,X,78.000,75.059,AAA,AAA,无担保,,,,shmb,,,113026,113026,0.5010,764985,783985,,N,N,79.230,buy,R,,1.74,N,17522710852.0,17074949659.0,Y,7.43,67167.16,0.00%,00,buy,buy,buy,14:59:57,129.67,0.25%,3.255,-5.29%,-5.78%,129.990,129.990,0.52%,50905.15,Y,0,0,,-,,N,-,buy,-,25-04-14,130.24,7.45,4.01,5.9%,5.8%,"转债占流动市值比：5.9%
转债占总市值比：5.8%",0.00,601985,sh113026,有效期：2022-01-13 到 2022-01-13；质押代码：113026,113026；2019-10-21 开始转股,全价：129.990 最后更新：14:59:57
128050,钧达转债,sz002865,钧达股份,C,14.81,2021-11-26,2019-06-14,2024-12-10,2022-12-10,,,100.000,y,16.89,30,30,0,0.00,,,521.62,118.000,n,130.000,15,30,30,2022-01-27,Y,3.200,0.515,AA-,AA-,中汽塑料,,,,szmb,"最后交易日：2022年1月27日
最后转股日：2022年1月27日
赎回价：100.21元/张",100.210,128050,128050,2.6298,082865,072865,,N,N,17.350,buy,,,8.06,N,137291465.0,133915115.0,Y,61.37,23067.41,3.82%,00,buy,buy,buy,15:14:03,414.38,0.39%,2.912,-34.76%,-35.52%,415.988,415.988,5.05%,110378.17,Y,1,1,R,-,,N,-,buy,-,24-12-10,416.38,19.25,10.37,0.6%,0.6%,"转债占流动市值比：0.6%
转债占总市值比：0.6%",0.00,002865,sz128050,有效期：-；质押代码：128050,128050；2019-06-14 开始转股,全价：415.988 最后更新：15:14:03
128013,洪涛转债,sz002325,洪涛股份,C,2.31,2021-12-13,2017-02-06,2022-07-29,2020-07-29,,,100.000,y,56.34,30,30,0,0.00,,,5.36,108.000,n,130.000,15,30,0,,X,12.000,10.608,A-,A-,无担保,,,,szmb,,,128013,128013,0.9980,082325,072325,10,N,N,,buy,R,,1.30,N,1325359461.0,1003074122.0,Y,2.87,4383.49,1.06%,00,buy,buy,buy,15:14:03,124.24,0.94%,0.542,-25.62%,-27.97%,125.413,125.413,0.91%,7126.74,Y,3,3,,-,,N,-,buy,-,22-07-29,126.35,3.00,1.62,36.8%,27.9%,"转债占流动市值比：36.8%
转债占总市值比：27.9%",0.00,002325,sz128013,有效期：-；质押代码：128013,128013；2017-02-06 开始转股,全价：125.413 最后更新：15:14:03
123073,同和转债,sz300636,同和药业,C,14.82,2021-05-18,2021-05-06,2026-10-25,2024-10-26,,,100.000,y,44.77,30,30,0,0.00,,,25.35,116.000,n,130.000,20,30,20,,X,3.600,3.581,A+,A+,无担保,,,,szcy,,,123073,123073,2.7989,380636,370636,,N,N,70.695,buy,,,5.46,N,205906321.0,169027590.0,Y,23.17,7916.25,-1.45%,00,buy,buy,buy,15:14:03,156.34,1.06%,4.786,-5.38%,-6.09%,158.000,158.000,-1.06%,14478.31,Y,1,1,B,-,,N,-,buy,-,26-10-25,159.06,19.27,10.37,9.1%,7.5%,"转债占流动市值比：9.1%
转债占总市值比：7.5%",0.00,300636,sz123073,有效期：-；质押代码：123073,123073；2021-05-06 开始转股,全价：158.000 最后更新：15:14:03
128085,鸿达转债,sz002002,鸿达兴业,C,3.91,2021-06-22,2020-06-22,2025-12-16,2023-12-18,,,100.000,y,46.16,30,30,0,0.00,,,29.20,118.000,n,130.000,15,30,0,,N,24.270,3.392,B,B,无担保,,,,szmb,2021年12月11日公告：本次不提前赎回鸿达转债，至2022年12月8日前均不提前赎回,,128085,128085,0.9374,082002,072002,,N,N,26.280,buy,R,,1.77,N,3120485457.0,3116603421.0,Y,5.93,61680.58,0.17%,00,buy,buy,buy,15:14:03,151.66,1.51%,3.929,-5.50%,-6.43%,153.950,153.950,1.02%,15100.95,Y,0,0,G,-,,N,-,buy,-,25-12-16,155.46,5.08,2.74,1.8%,1.8%,"转债占流动市值比：1.8%
转债占总市值比：1.8%",0.00,002002,sz128085,有效期：-；质押代码：128085,128085；2020-06-22 开始转股,全价：153.950 最后更新：15:14:03
128094,星帅转债,sz002860,星帅尔,C,13.80,2021-06-08,2020-07-22,2026-01-16,2024-01-16,,,100.000,y,39.88,30,30,0,0.00,,,25.45,115.000,n,130.000,15,30,7,,X,2.800,2.089,A+,A+,股份质押和保证,,,,szmb,,,128094,128094,2.3897,082860,072860,,N,N,75.030,buy,,,4.11,N,204206647.0,147145649.0,Y,24.22,6139.13,1.76%,00,buy,buy,buy,15:14:03,175.51,1.55%,4.014,-9.40%,-10.17%,178.230,178.230,1.39%,9467.02,Y,0,0,,-,,N,-,buy,-,26-01-16,179.78,17.94,9.66,5.9%,4.2%,"转债占流动市值比：5.9%
转债占总市值比：4.2%",0.00,002860,sz128094,有效期：-；质押代码：128094,128094；2020-07-22 开始转股,全价：178.230 最后更新：15:14:03
