id,name,stock_id,stock_name,price,convert_value,premium_rt,rating_cd,pb,convert_amt_ratio,convert_amt_ratio2,next_put_dt,put_price,put_convert_price,maturity_dt,redeem_price,last_time,force_redeem,redeem_dt,force_redeem_price
128091,新天转债,002873.sz,新天药业,124.378,110.88,12.17%,A+,2.50,8.8%,8.3%,2024-01-01,100.000,11.39,2025-12-30,113.000,4.296,X,,21.15
123070,鹏辉转债,300438.sz,鹏辉能源,165.002,146.86,12.35%,AA,5.03,7.9%,6.0%,2024-10-21,100.000,14.06,2026-10-19,110.000,5.099,N,,26.10
123060,苏试转债,300416.sz,苏试试验,141.003,125.38,12.46%,AA-,5.95,5.2%,5.1%,2024-07-22,100.000,12.80,2026-07-20,112.000,4.849,N,,23.76
123027,蓝晓转债,300487.sz,蓝晓科技,345.233,306.69,12.57%,A+,10.38,0.9%,0.5%,2023-06-12,100.000,20.31,2025-06-10,113.000,3.740,N,,37.73
110045,海澜转债,600398.ss,海澜之家,124.41,110.37,12.72%,AA+,2.35,8.8%,8.8%,2022-07-13,100.000,4.93,2024-07-13,108.000,2.830,X,,9.15
113591,胜达转债,603687.ss,大胜达,114.86,101.83,12.80%,AA-,2.02,43.5%,15.0%,2024-07-01,100.000,6.13,2026-06-30,116.000,4.795,X,,11.39
113537,文灿转债,603348.ss,文灿股份,191.96,170.07,12.87%,AA-,3.22,1.7%,1.6%,2023-06-12,100.000,13.50,2025-06-09,115.000,3.737,N,,25.06
110055,伊力转债,600197.ss,伊力特,184.92,163.32,13.23%,AA,3.35,1.9%,1.9%,2023-03-15,100.000,11.49,2025-03-15,110.000,3.501,N,,21.33
128026,众兴转债,002772.sz,众兴菌业,119.28,105.02,13.58%,AA-,1.56,13.2%,8.4%,2021-12-13,100.000,7.95,2023-12-13,106.000,2.247,X,,14.77
128048,张行转债,002839.sz,张家港行,121.117,106.61,13.61%,AA+,0.79,27.5%,23.1%,,,-,2024-11-12,109.000,3.164,X,,7.28
123022,长信转债,300088.sz,长信科技,162.1,142.48,13.77%,AA,2.92,1.2%,1.2%,2023-03-18,100.000,4.24,2025-03-18,110.000,3.510,N,,7.87
113626,伯特转债,603596.ss,伯特利,163.87,143.83,13.93%,AA,6.97,4.3%,4.3%,2025-06-27,100.000,25.20,2027-06-28,116.000,5.789,X,,46.80
113570,百达转债,603331.ss,百达精工,121.72,106.79,13.98%,A+,2.42,13.0%,13.0%,2024-03-11,100.000,7.94,2026-03-10,110.000,4.488,X,,14.74
128063,未来转债,002631.sz,德尔未来,118.0,103.37,14.15%,AA-,3.30,10.8%,10.6%,2024-04-03,100.000,6.02,2025-04-03,120.000,3.553,X,,11.18
128134,鸿路转债,002541.sz,鸿路钢构,132.068,115.61,14.24%,AA,4.17,8.3%,5.9%,2024-10-08,100.000,30.46,2026-10-08,110.000,5.068,X,,56.56
128145,日丰转债,002953.sz,日丰股份,120.939,105.86,14.25%,AA-,2.96,35.6%,10.8%,2025-03-21,100.000,9.56,2027-03-22,110.000,5.521,X,,17.76
128097,奥佳转债,002614.sz,奥佳华,162.001,141.77,14.27%,AA,1.96,7.0%,4.9%,2024-02-26,100.000,7.27,2026-02-25,110.000,4.452,N,,13.51
113610,灵康转债,603669.ss,灵康药业,117.01,102.32,14.35%,AA-,4.47,7.3%,7.3%,2024-11-29,100.000,6.03,2026-11-30,115.000,5.214,X,,11.19
113548,石英转债,603688.ss,石英股份,344.02,300.74,14.39%,AA-,7.90,0.8%,0.8%,2023-10-27,100.000,10.45,2025-10-27,118.000,4.121,N,,19.41
