bond_id,bond_nm,stock_id,stock_nm,btype,convert_price,convert_price_valid_from,convert_dt,maturity_dt,next_put_dt,put_dt,put_notes,put_price,put_inc_cpn_fl,put_convert_price_ratio,put_count_days,put_total_days,put_real_days,repo_discount_rt,repo_valid_from,repo_valid_to,turnover_rt,redeem_price,redeem_inc_cpn_fl,redeem_price_ratio,redeem_count_days,redeem_total_days,redeem_real_days,redeem_dt,redeem_flag,orig_iss_amt,curr_iss_amt,rating_cd,issuer_rating_cd,guarantor,ssc_dt,esc_dt,sc_notes,market_cd,force_redeem,real_force_redeem_price,convert_cd,repo_cd,ration,ration_cd,apply_cd,online_offline_ratio,qflag,qflag2,ration_rt,fund_rt,margin_flg,lt_bps,pb,pb_flag,total_shares,float_shares,sqflg,sprice,svolume,sincrease_rt,qstatus,bond_value,bond_value2,volatility_rate,last_time,convert_value,premium_rt,year_left,ytm_rt,ytm_rt_tax,price,full_price,increase_rt,volume,convert_price_valid,adj_scnt,adj_cnt,redeem_icon,ref_yield_info,adjust_tip,adjusted,option_tip,bond_value3,left_put_year,short_maturity_dt,dblow,force_redeem_price,put_convert_price,convert_amt_ratio,convert_amt_ratio2,convert_amt_ratio_tips,stock_net_value,stock_cd,pre_bond_id,repo_valid,convert_cd_tip,price_tips
127049,希望转2,sz000876,新希望,C,14.45,,2022-05-09,2027-11-01,2025-11-03,,,100.000,y,62.44,30,30,0,0.00,,,,107.000,n,130.000,15,30,0,,X,81.500,81.500,AAA,AAA,无,,,,szmb,,,未到转股期,127049,1.8400,080876,070876,,N,N,,-,R,,2.11,N,4505211342.0,4325422589.0,Y,16.20,348202.49,3.78%,00,buy,buy,buy,,112.11,-10.80%,5.995,1.81%,1.46%,100.000,100.000,0.00%,0.00,Y,0,0,,-,,N,-,buy,-,27-11-01,89.20,18.79,10.12,11.6%,11.2%,"转债占流动市值比：11.6%
转债占总市值比：11.2%",0.00,000876,sz127049,有效期：-；质押代码：127049,未到转股期；2022-05-09 开始转股,待上市
127047,帝欧转债,sz002798,帝欧家居,C,13.53,,2022-04-29,2027-10-25,2025-10-27,,,100.000,y,67.60,30,30,0,0.00,,,,115.000,n,130.000,15,30,0,,X,15.000,15.000,AA-,AA-,无担保,,,,szmb,,,未到转股期,127047,3.8770,082798,072798,,N,N,49.880,-,,,1.18,N,386893064.0,222617840.0,Y,14.01,14981.13,1.08%,00,buy,buy,buy,,103.55,-3.43%,5.975,3.21%,2.60%,100.000,100.000,0.00%,0.00,Y,0,0,,-,,N,-,buy,-,27-10-25,96.57,17.59,9.47,48.1%,27.7%,"转债占流动市值比：48.1%
转债占总市值比：27.7%",0.00,002798,sz127047,有效期：-；质押代码：127047,未到转股期；2022-04-29 开始转股,待上市
110082,宏发转债,sh600885,宏发股份,C,72.28,,2022-05-03,2027-10-27,2025-10-27,,,100.000,y,67.91,30,30,0,0.00,,,,112.000,n,130.000,15,30,0,,X,20.000,20.000,AA,AA,无,,,,shmb,,,未到转股期,110082,0.2700,704885,733885,,N,N,,-,R,,9.13,N,744761552.0,744761552.0,Y,74.50,42681.18,0.96%,00,buy,buy,buy,,103.07,-2.98%,5.981,2.72%,2.20%,100.000,100.000,0.00%,0.00,Y,0,0,,-,,N,-,buy,-,27-10-27,97.02,93.96,50.60,3.6%,3.6%,"转债占流动市值比：3.6%
转债占总市值比：3.6%",0.00,600885,sh110082,有效期：-；质押代码：110082,未到转股期；2022-05-03 开始转股,待上市
111001,山玻转债,sh605006,山东玻纤,C,13.91,,2022-05-12,2027-11-08,2025-11-10,,,100.000,y,68.81,30,30,0,0.00,,,,115.000,n,130.000,30,30,0,,X,6.000,6.000,AA-,AA-,无,,,,shmb,,,未到转股期,111001,1.2000,715006,713006,,N,N,,-,,,3.28,N,500000000.0,236298639.0,Y,14.15,16100.80,6.39%,00,buy,buy,buy,,101.73,-1.70%,6.000,3.15%,2.55%,100.000,100.000,0.00%,0.00,Y,0,0,,-,,N,-,buy,-,27-11-08,98.30,18.08,9.74,17.9%,8.5%,"转债占流动市值比：17.9%
转债占总市值比：8.5%",0.00,605006,sh111001,有效期：-；质押代码：111001,未到转股期；2022-05-12 开始转股,待上市
113051,节能转债,sh601016,节能风电,C,4.05,,2021-12-27,2027-06-21,2025-06-20,,,100.000,y,39.87,30,30,0,0.00,,,28.36,110.000,n,130.000,15,30,0,,X,30.000,30.000,AA+,AA+,无担保,,,,shmb,,,未到转股期,113051,0.5980,764016,783016,,N,N,63.210,buy,R,,3.35,N,5013052000.0,4480441681.0,Y,7.11,251369.34,5.02%,00,buy,buy,buy,15:00:00,175.56,-1.44%,5.630,-7.16%,-7.57%,173.030,173.030,4.30%,147193.43,Y,0,0,,-,,N,-,buy,-,27-06-21,171.59,5.26,2.83,9.4%,8.4%,"转债占流动市值比：9.4%
转债占总市值比：8.4%",0.00,601016,sh113051,有效期：-；质押代码：113051,未到转股期；2021-12-27 开始转股,全价：173.030 最后更新：15:00:00
123069,金诺转债,sz300505,川金诺,C,19.09,2021-07-14,2021-04-22,2026-10-15,2024-10-15,,,100.000,y,33.74,30,30,0,0.00,,,1045.85,120.000,n,130.000,15,30,30,2021-11-05,Y,3.680,0.569,AA-,AA-,无担保,,,,szcy,"最后交易日：2021年11月5日
最后赎回日：2021年11月5日
赎回价：100.04元/张",100.040,123069,123069,2.8159,380505,370505,,N,N,76.337,buy,,,4.62,N,145341520.0,101358423.0,Y,39.60,46019.57,1.85%,00,buy,buy,buy,15:14:03,207.44,-0.54%,4.948,-9.69%,-10.43%,206.320,206.320,1.64%,125892.65,Y,0,0,R,-,,N,-,buy,-,26-10-15,205.78,24.82,13.36,1.4%,1.0%,"转债占流动市值比：1.4%
转债占总市值比：1.0%",0.00,300505,sz123069,有效期：-；质押代码：123069,123069；2021-04-22 开始转股,全价：206.320 最后更新：15:14:03
128057,博彦转债,sz002649,博彦科技,C,8.50,2021-04-22,2019-09-11,2025-03-05,2023-03-05,,,100.000,y,50.30,30,30,0,0.00,,,66.86,112.000,n,130.000,15,30,18,2021-11-29,Y,5.758,3.082,AA-,AA-,无担保,,,,szmb,"最后交易日：2021年11月29日
最后转股日：2021年11月29日
赎回价：100.74元/张",100.740,128057,128057,1.0957,082649,072649,,N,N,16.060,buy,,,1.94,N,534870253.0,471293859.0,Y,11.83,48822.95,-3.03%,00,buy,buy,buy,15:14:03,139.18,-0.48%,3.334,-5.20%,-6.00%,138.510,138.510,-1.91%,28883.57,Y,0,0,R,-,,N,-,buy,-,25-03-05,138.03,11.05,5.95,5.5%,4.9%,"转债占流动市值比：5.5%
转债占总市值比：4.9%",0.00,002649,sz128057,有效期：-；质押代码：128057,128057；2019-09-11 开始转股,全价：138.510 最后更新：15:14:03
123083,朗新转债,sz300682,朗新科技,C,15.40,2021-09-17,2021-06-15,2026-12-08,2024-12-09,,,100.000,y,32.32,30,30,0,0.00,,,28.92,110.000,n,130.000,15,30,30,,N,8.000,6.278,AA,AA,无担保,,,,szcy,2021年10月22日公告：本次（2021年9月27日至2021年10月22日）不行使提前赎回权利，不提前赎回,,123083,123083,0.7833,380682,370682,,N,N,77.260,buy,,,6.21,N,1031953050.0,725754787.0,Y,33.35,27330.32,0.45%,00,buy,buy,buy,15:14:03,216.56,-0.44%,5.096,-11.77%,-12.20%,215.600,215.600,0.55%,38511.55,Y,0,0,G,-,,N,-,buy,-,26-12-08,215.16,20.02,10.78,2.6%,1.8%,"转债占流动市值比：2.6%
转债占总市值比：1.8%",0.00,300682,sz123083,有效期：-；质押代码：123083,123083；2021-06-15 开始转股,全价：215.600 最后更新：15:14:03
113048,晶科转债,sh601778,晶科科技,C,5.46,2021-10-27,2021-10-29,2027-04-22,2025-04-22,,,100.000,y,42.80,30,30,0,0.00,,,32.69,112.000,n,130.000,15,30,5,,X,30.000,23.690,AA,AA,无,,,,shmb,,,113048,113048,1.0840,764778,783778,,N,N,37.350,buy,,,2.08,N,2765501922.0,1741192922.0,Y,8.93,69012.28,3.60%,00,buy,buy,buy,14:59:59,163.55,-0.17%,5.466,-6.00%,-6.49%,163.280,163.280,2.66%,126484.37,Y,1,1,,-,,N,-,buy,-,27-04-22,163.11,7.10,3.82,15.2%,9.6%,"转债占流动市值比：15.2%
转债占总市值比：9.6%",0.00,601778,sh113048,有效期：-；质押代码：113048,113048；2021-10-29 开始转股,全价：163.280 最后更新：14:59:59
113603,东缆转债,sh603606,东方电缆,C,23.65,2021-05-27,2021-03-30,2026-09-23,2024-09-23,,,100.000,y,32.46,30,30,0,0.00,,,189.25,110.000,n,130.000,15,30,20,,Y,8.000,4.384,AA,AA,无担保,,,,shmb,,,113603,113603,1.2230,753606,754606,,N,N,72.364,buy,R,,8.48,N,654111982.0,654111982.0,Y,51.00,228719.82,8.83%,00,buy,buy,buy,14:59:59,215.64,-0.15%,4.888,-12.24%,-12.69%,215.320,215.320,9.55%,176925.80,Y,0,0,O,-,,N,-,buy,-,26-09-23,215.17,30.75,16.55,1.3%,1.3%,"转债占流动市值比：1.3%
转债占总市值比：1.3%",0.00,603606,sh113603,有效期：-；质押代码：113603,113603；2021-03-30 开始转股,全价：215.320 最后更新：14:59:59
