id,name,stock_id,stock_name,price,convert_value,premium_rt,rating_cd,pb,convert_amt_ratio,convert_amt_ratio2,next_put_dt,put_price,put_convert_price,maturity_dt,redeem_price,last_time,force_redeem,redeem_dt,force_redeem_price
123102,华自转债,300490.sz,华自科技,271.2,302.7,-10.41%,AA-,3.79,9.6%,9.3%,2025-03-11,100.000,6.47,2027-03-11,119.000,5.532,X,,12.03
113048,晶科转债,601778.ss,晶科科技,165.0,174.64,-5.52%,AA,2.27,18.0%,11.3%,2025-04-22,100.000,3.84,2027-04-22,112.000,5.647,X,,7.12
127029,中钢转债,000928.sz,中钢国际,181.0,187.44,-3.43%,AA+,2.35,6.9%,6.9%,2025-03-18,100.000,4.12,2027-03-18,113.000,5.551,X,,7.66
132014,18中化EB,601117.ss,中国化学,182.5,186.82,-2.14%,AAA,1.70,3.2%,3.2%,2022-04-24,100.000,4.99,2023-04-24,106.000,1.649,N,,9.27
113508,新凤转债,603225.ss,新凤鸣,117.83,119.3,-1.23%,AA,1.93,2.1%,2.1%,2022-04-26,100.000,10.96,2024-04-25,108.000,2.655,Y,2021-08-31,20.34
128085,鸿达转债,002002.sz,鸿达兴业,160.438,162.4,-1.21%,B,1.99,2.8%,2.8%,2023-12-18,100.000,2.74,2025-12-16,118.000,4.299,X,,5.08
123033,金力转债,300748.sz,金力永磁,150.7,152.53,-1.20%,AA-,12.12,0.3%,0.2%,2023-10-31,100.000,17.71,2025-10-31,114.000,4.173,Y,2021-08-30,32.89
123079,运达转债,300772.sz,运达股份,239.0,241.2,-0.91%,AA,6.65,1.2%,0.7%,2024-11-29,100.000,10.58,2026-11-30,110.000,5.255,Y,2021-09-08,19.66
123030,九洲转债,300040.sz,九洲集团,224.5,226.5,-0.88%,AA-,2.11,2.3%,1.7%,2023-08-21,100.000,2.80,2025-08-19,115.000,3.973,Y,2021-09-14,5.20
128051,光华转债,002741.sz,光华科技,218.994,220.52,-0.69%,AA-,8.13,0.4%,0.4%,2022-12-14,100.000,8.90,2024-12-14,110.000,3.293,Y,2021-09-07,16.54
123094,星源转2,300568.sz,星源材质,223.533,224.95,-0.63%,AA,10.33,0.9%,0.8%,2025-01-20,100.000,11.78,2027-01-19,112.000,5.392,Y,2021-09-06,25.53
120003,19华菱EB,000932.sz,华菱钢铁,166.121,166.89,-0.46%,AAA,1.44,4.7%,3.9%,2023-11-24,100.000,3.13,2024-11-22,110.000,3.233,X,,5.81
113012,骆驼转债,601311.ss,骆驼股份,150.43,151.12,-0.45%,AA,2.12,0.7%,0.7%,2021-03-23,100.000,6.90,2023-03-24,105.000,1.564,Y,2021-09-02,12.82
113612,永冠转债,603681.ss,永冠新材,159.23,159.83,-0.38%,AA-,3.31,11.9%,4.4%,2024-12-09,100.000,14.41,2026-12-07,115.000,5.274,Y,2021-09-09,26.77
113572,三祥转债,603663.ss,三祥新材,183.1,183.11,0.00%,A+,7.25,3.4%,3.4%,2024-03-11,100.000,9.86,2026-03-11,108.000,4.532,Y,,18.32
113016,小康转债,601127.ss,小康股份,424.34,423.05,0.30%,AA-,20.31,0.3%,0.2%,2021-11-06,100.000,11.87,2023-11-06,106.000,2.186,N,,22.05
123069,金诺转债,300505.sz,川金诺,189.2,188.58,0.33%,AA-,4.37,7.9%,5.4%,2024-10-15,100.000,13.36,2026-10-15,120.000,5.129,N,,24.82
127020,中金转债,000060.sz,中金岭南,128.8,128.29,0.39%,AA+,1.69,17.9%,17.9%,2024-07-22,100.000,3.24,2026-07-19,110.000,4.888,X,,6.02
110033,国贸转债,600755.ss,厦门国贸,127.16,126.64,0.41%,AAA,0.60,7.3%,6.9%,2020-01-05,100.000,4.70,2022-01-05,108.000,0.351,X,,8.74
120004,20华菱EB,000932.sz,华菱钢铁,152.75,151.63,0.74%,AAA,1.44,3.5%,2.9%,2024-01-09,100.000,3.44,2025-01-08,110.000,3.362,X,,6.40
123068,弘信转债,300657.sz,弘信电子,137.3,136.11,0.87%,AA-,6.00,6.8%,6.4%,2024-10-14,100.000,10.74,2026-10-14,115.000,5.126,X,,19.94
128050,钧达转债,002865.sz,钧达股份,240.2,237.77,1.02%,AA-,4.28,3.0%,2.9%,2022-12-10,100.000,10.36,2024-12-10,118.000,3.282,N,,19.24
128103,同德转债,002360.sz,同德化工,195.1,192.91,1.13%,A+,2.94,3.6%,2.8%,2024-03-25,100.000,3.56,2026-03-25,115.000,4.570,N,,6.60
113009,广汽转债,601238.ss,广汽集团,132.96,131.35,1.22%,AAA,2.19,1.9%,1.3%,2021-01-22,100.680,9.78,2022-01-22,106.000,0.397,X,,18.16
123098,一品转债,300723.sz,一品红,138.35,136.58,1.30%,AA-,6.42,9.9%,4.2%,2025-01-27,100.000,17.84,2027-01-27,118.000,5.414,N,,33.12
113528,长城转债,603897.ss,长城科技,195.11,192.29,1.47%,AA-,3.74,6.7%,6.7%,2023-03-01,100.000,16.34,2025-03-01,112.000,3.504,N,,30.36
113014,林洋转债,601222.ss,林洋能源,133.35,130.81,1.95%,AA,1.79,12.8%,12.8%,2021-10-27,100.000,5.91,2023-10-27,106.000,2.159,X,,10.97
128013,洪涛转债,002325.sz,洪涛股份,108.981,106.9,1.95%,A-,1.12,48.3%,36.6%,2020-07-29,100.000,1.62,2022-07-29,108.000,0.912,X,,3.02
113034,滨化转债,601678.ss,滨化股份,273.01,267.03,2.24%,AA,2.52,2.0%,2.0%,2024-04-09,100.000,3.21,2026-04-09,110.000,4.611,N,,5.95
123067,斯莱转债,300382.sz,斯莱克,278.972,272.76,2.28%,AA-,13.03,2.3%,2.3%,2024-09-16,100.000,6.55,2026-09-16,115.000,5.049,N,,12.17
113039,嘉泽转债,601619.ss,嘉泽新能,141.83,138.44,2.45%,AA,2.53,4.9%,4.8%,2024-08-23,100.000,2.42,2026-08-23,108.000,4.984,X,,4.50
123112,万讯转债,300112.sz,万讯自控,146.138,142.55,2.51%,AA-,3.29,9.6%,6.7%,2025-04-07,100.000,6.25,2027-04-07,118.000,5.605,X,,11.61
128128,齐翔转2,002408.sz,齐翔腾达,188.201,183.56,2.53%,AA,2.74,3.1%,3.0%,2024-08-19,100.000,5.58,2026-08-19,110.000,4.973,N,,10.36
128094,星帅转债,002860.sz,星帅尔,145.47,141.81,2.58%,A+,3.54,7.8%,5.6%,2024-01-16,100.000,9.66,2026-01-16,115.000,4.384,N,,17.94
113607,伟20转债,603568.ss,伟明环保,135.44,131.74,2.81%,AA,6.22,3.3%,3.3%,2024-11-01,100.000,15.20,2026-11-01,110.000,5.175,X,,28.22
128082,华锋转债,002806.sz,华锋股份,198.835,193.32,2.85%,A,3.23,7.2%,6.5%,2023-12-04,100.000,6.39,2025-12-03,115.000,4.263,X,,11.87
110074,精达转债,600577.ss,精达股份,236.61,229.49,3.10%,AA,4.10,3.3%,3.3%,2024-08-19,100.000,2.61,2026-08-18,112.000,4.970,N,,4.85
123052,飞鹿转债,300665.sz,飞鹿股份,144.161,139.57,3.29%,A+,3.17,11.9%,8.8%,2024-06-04,100.000,4.93,2026-06-04,120.000,4.764,N,,9.16
113047,旗滨转债,601636.ss,旗滨集团,227.38,220.08,3.32%,AA+,6.85,2.0%,2.0%,2025-04-08,100.000,8.96,2027-04-08,110.000,5.608,X,,16.64
128096,奥瑞转债,002701.sz,奥瑞金,136.19,131.78,3.35%,AA+,2.02,4.7%,4.7%,2024-02-12,100.000,3.15,2026-02-11,110.000,4.455,N,,5.85
113525,台华转债,603055.ss,台华新材,154.43,149.1,3.57%,AA,3.11,5.3%,4.9%,2022-12-17,100.000,5.45,2024-12-16,110.000,3.299,X,,10.11
128111,中矿转债,002738.sz,中矿资源,433.491,417.44,3.84%,AA-,5.88,0.9%,0.7%,2024-06-10,100.000,10.79,2026-06-10,118.000,4.781,N,,20.05
123086,海兰转债,300065.sz,海兰信,149.0,143.47,3.86%,AA-,3.79,11.7%,9.8%,2024-12-10,100.000,5.09,2026-12-10,118.000,5.282,X,,9.45
113585,寿仙转债,603896.ss,寿仙谷,141.2,135.91,3.90%,AA-,4.09,1.8%,1.8%,2024-06-10,100.000,19.87,2026-06-08,112.000,4.775,N,,36.89
128075,远东转债,002406.sz,远东传动,127.501,122.68,3.93%,AA,1.21,16.9%,13.4%,2023-09-25,100.000,3.70,2025-09-23,110.000,4.068,N,,6.88
123070,鹏辉转债,300438.sz,鹏辉能源,173.0,166.38,3.98%,AA,5.76,7.0%,5.3%,2024-10-21,100.000,14.06,2026-10-19,110.000,5.140,N,,26.10
113527,维格转债,603518.ss,锦泓集团,177.28,170.46,4.00%,AA,2.03,6.0%,6.0%,2023-01-23,100.000,6.89,2025-01-23,115.000,3.403,N,,12.80
113621,彤程转债,603650.ss,彤程新材,191.41,183.91,4.08%,AA,14.38,1.5%,1.5%,2025-01-27,100.000,22.83,2027-01-25,110.000,5.408,N,,42.41
113568,新春转债,603667.ss,五洲新春,176.18,169.26,4.09%,AA-,2.41,6.9%,6.2%,2024-03-05,100.000,6.12,2026-03-05,118.000,4.515,N,,11.38
113615,金诚转债,603979.ss,金诚信,193.6,185.45,4.39%,AA,2.81,6.5%,6.5%,2024-12-23,100.000,8.86,2026-12-22,112.000,5.315,N,,16.45
110070,凌钢转债,600231.ss,凌钢股份,134.01,128.25,4.49%,AA,1.14,2.2%,2.2%,2024-04-12,100.000,1.88,2026-04-12,112.000,4.619,X,,3.50
113025,明泰转债,601677.ss,明泰铝业,366.58,350.45,4.60%,AA,2.75,4.2%,4.2%,2023-04-10,100.000,7.70,2025-04-09,110.000,3.611,N,,14.30
123051,今天转债,300532.sz,今天国际,139.5,133.33,4.62%,A+,3.65,14.7%,8.8%,2024-06-03,100.000,6.09,2026-06-03,116.000,4.762,X,,11.31
128113,比音转债,002832.sz,比音勒芬,185.263,177.05,4.64%,AA,5.12,3.2%,2.1%,2024-06-14,100.000,10.22,2026-06-14,112.000,4.792,N,,18.98
113504,艾华转债,603989.ss,艾华集团,160.22,152.81,4.85%,AA,4.50,3.9%,3.9%,2022-03-02,100.000,14.57,2024-03-01,106.000,2.504,N,,27.05
