bond_id,bond_nm,stock_id,stock_nm,btype,convert_price,convert_price_valid_from,convert_dt,maturity_dt,next_put_dt,put_dt,put_notes,put_price,put_inc_cpn_fl,put_convert_price_ratio,put_count_days,put_total_days,put_real_days,repo_discount_rt,repo_valid_from,repo_valid_to,turnover_rt,redeem_price,redeem_inc_cpn_fl,redeem_price_ratio,redeem_count_days,redeem_total_days,redeem_real_days,redeem_dt,redeem_flag,orig_iss_amt,curr_iss_amt,rating_cd,issuer_rating_cd,guarantor,ssc_dt,esc_dt,sc_notes,market_cd,force_redeem,real_force_redeem_price,convert_cd,repo_cd,ration,ration_cd,apply_cd,online_offline_ratio,qflag,qflag2,ration_rt,fund_rt,margin_flg,lt_bps,pb,pb_flag,total_shares,float_shares,sqflg,sprice,svolume,sincrease_rt,qstatus,bond_value,bond_value2,volatility_rate,last_time,convert_value,premium_rt,year_left,ytm_rt,ytm_rt_tax,price,full_price,increase_rt,volume,convert_price_valid,adj_scnt,adj_cnt,redeem_icon,ref_yield_info,adjust_tip,adjusted,option_tip,bond_value3,left_put_year,short_maturity_dt,dblow,force_redeem_price,put_convert_price,convert_amt_ratio,convert_amt_ratio2,convert_amt_ratio_tips,stock_net_value,stock_cd,pre_bond_id,repo_valid,convert_cd_tip,price_tips
127049,希望转2,sz000876,新希望,C,14.45,,2022-05-09,2027-11-01,2025-11-03,,,100.000,y,62.90,30,30,0,0.00,,,,107.000,n,130.000,15,30,0,,X,81.500,81.500,AAA,AAA,无,,,,szmb,,,未到转股期,127049,1.8400,080876,070876,,N,N,,-,R,,2.10,N,4505211342.0,4325422589.0,Y,16.08,112232.24,2.42%,00,buy,buy,buy,,111.28,-10.14%,5.964,1.82%,1.47%,100.000,100.000,0.00%,0.00,Y,0,0,,-,,N,-,buy,-,27-11-01,89.86,18.79,10.12,11.7%,11.3%,"转债占流动市值比：11.7%
转债占总市值比：11.3%",0.00,000876,sz127049,有效期：-；质押代码：127049,未到转股期；2022-05-09 开始转股,待上市
113630,赛伍转债,sh603212,赛伍技术,C,32.90,,2022-05-02,2027-10-26,2025-10-27,,,100.000,y,63.55,30,30,0,0.00,,,,115.000,n,130.000,15,30,0,,X,7.000,7.000,AA-,AA-,无,,,,shmb,,,未到转股期,113630,1.7490,753212,754212,,N,N,52.070,-,,,7.27,N,400010000.0,255241976.0,Y,36.24,38133.95,1.83%,00,buy,buy,buy,,110.15,-9.21%,5.948,3.25%,2.63%,100.000,100.000,0.00%,0.00,Y,0,0,,-,,N,-,buy,-,27-10-26,90.79,42.77,23.03,7.6%,4.8%,"转债占流动市值比：7.6%
转债占总市值比：4.8%",0.00,603212,sh113630,有效期：-；质押代码：113630,未到转股期；2022-05-02 开始转股,待上市
127047,帝欧转债,sz002798,帝欧家居,C,13.53,,2022-04-29,2027-10-25,2025-10-27,,,100.000,y,64.30,30,30,0,0.00,,,,115.000,n,130.000,15,30,0,,X,15.000,15.000,AA-,AA-,无担保,,,,szmb,,,未到转股期,127047,3.8770,082798,072798,,N,N,49.880,-,,,1.25,N,386893064.0,222617840.0,Y,14.73,16504.76,3.51%,00,buy,buy,buy,,108.87,-8.15%,5.945,3.23%,2.61%,100.000,100.000,0.00%,0.00,Y,0,0,,-,,N,-,buy,-,27-10-25,91.85,17.59,9.47,45.7%,26.3%,"转债占流动市值比：45.7%
转债占总市值比：26.3%",0.00,002798,sz127047,有效期：-；质押代码：127047,未到转股期；2022-04-29 开始转股,待上市
110082,宏发转债,sh600885,宏发股份,C,72.28,,2022-05-03,2027-10-27,2025-10-27,,,100.000,y,64.97,30,30,0,0.00,,,,112.000,n,130.000,15,30,0,,X,20.000,20.000,AA,AA,无,,,,shmb,,,未到转股期,110082,0.2700,704885,733885,,N,N,,-,R,,9.54,N,744761552.0,744761552.0,Y,77.88,46610.47,-1.24%,00,buy,buy,buy,,107.75,-7.19%,5.951,2.73%,2.21%,100.000,100.000,0.00%,0.00,Y,0,0,,-,,N,-,buy,-,27-10-27,92.81,93.96,50.60,3.4%,3.4%,"转债占流动市值比：3.4%
转债占总市值比：3.4%",0.00,600885,sh110082,有效期：-；质押代码：110082,未到转股期；2022-05-03 开始转股,待上市
127051,博杰转债,sz002975,博杰股份,C,62.17,,2022-05-23,2027-11-16,2026-11-16,,,100.000,y,65.56,30,30,0,,,,,115.000,n,130.000,15,30,0,,X,5.260,5.260,AA-,AA-,由公司实际控制人王兆春、付林 和成君提供保证担保,,,,szmb,,,未到转股期,127051,3.7655,082975,072975,,N,N,,-,,,6.26,N,139688000.0,38933400.0,Y,66.38,28537.62,3.77%,00,buy,buy,buy,,106.77,-6.34%,5.997,3.31%,2.68%,100.000,100.000,0.00%,0.00,Y,0,0,,-,,N,-,buy,-,27-11-16,93.66,80.82,43.52,20.4%,5.7%,"转债占流动市值比：20.4%
转债占总市值比：5.7%",0.00,002975,sz127051,有效期：-；质押代码：127051,未到转股期；2022-05-23 开始转股,待上市
127050,麒麟转债,sz002984,森麒麟,C,34.85,,2022-05-17,2027-11-10,2025-11-10,,,100.000,y,65.72,30,30,0,0.00,,,,110.000,n,130.000,15,30,0,,X,21.990,21.990,AA,AA,,,,,szmb,,,未到转股期,127050,3.3847,082984,072984,,N,N,89.490,-,,,3.95,N,649668940.0,289398638.0,Y,37.12,11958.32,1.12%,00,buy,buy,buy,,106.51,-6.11%,5.989,2.42%,1.95%,100.000,100.000,0.00%,0.00,Y,0,0,,-,,N,-,buy,-,27-11-10,93.89,45.30,24.39,20.5%,9.1%,"转债占流动市值比：20.5%
转债占总市值比：9.1%",0.00,002984,sz127050,有效期：-；质押代码：127050,未到转股期；2022-05-17 开始转股,待上市
123130,设研转债,sz300732,设研院,C,11.24,,2022-05-17,2027-11-10,2025-11-10,,,100.000,y,67.02,30,30,0,0.00,,,,112.000,n,130.000,15,30,0,,X,3.760,3.760,AA,AA,无,,,,szcy,,,未到转股期,123130,1.3718,380732,370732,,N,N,63.570,-,,,1.28,N,275296402.0,267806970.0,Y,11.74,6055.05,5.39%,00,buy,buy,buy,,104.45,-4.26%,5.989,2.72%,2.19%,100.000,100.000,0.00%,0.00,Y,0,0,,-,,N,-,buy,-,27-11-10,95.74,14.61,7.87,12.0%,11.6%,"转债占流动市值比：12.0%
转债占总市值比：11.6%",0.00,300732,sz123130,有效期：-；质押代码：123130,未到转股期；2022-05-17 开始转股,待上市
123127,耐普转债,sz300818,耐普矿机,C,37.00,,2022-05-04,2027-10-28,2025-10-28,,,100.000,y,67.52,30,30,0,0.00,,,,110.000,n,130.000,15,30,0,,X,4.000,4.000,A+,A+,无,,,,szcy,,,未到转股期,123127,5.7870,380818,370818,,N,N,22.780,-,,,2.85,N,70000000.0,31453000.0,Y,38.36,6203.92,1.75%,00,buy,buy,buy,,103.68,-3.55%,5.953,2.61%,2.10%,100.000,100.000,0.00%,0.00,Y,0,0,,-,,N,-,buy,-,27-10-28,96.45,48.10,25.90,33.2%,14.9%,"转债占流动市值比：33.2%
转债占总市值比：14.9%",0.00,300818,sz123127,有效期：-；质押代码：123127,未到转股期；2022-05-04 开始转股,待上市
111001,山玻转债,sh605006,山东玻纤,C,13.91,,2022-05-12,2027-11-08,2025-11-10,,,100.000,y,68.67,30,30,0,0.00,,,,115.000,n,130.000,30,30,0,,X,6.000,6.000,AA-,AA-,无,,,,shmb,,,未到转股期,111001,1.2000,715006,713006,,N,N,64.600,-,,,3.29,N,500000000.0,236298639.0,Y,14.18,5964.32,-0.14%,00,buy,buy,buy,,101.94,-1.90%,5.984,3.16%,2.56%,100.000,100.000,0.00%,0.00,Y,0,0,,-,,N,-,buy,-,27-11-08,98.10,18.08,9.74,17.9%,8.5%,"转债占流动市值比：17.9%
转债占总市值比：8.5%",0.00,605006,sh111001,有效期：-；质押代码：111001,未到转股期；2022-05-12 开始转股,待上市
123070,鹏辉转债,sz300438,鹏辉能源,C,20.08,2021-08-17,2021-04-26,2026-10-19,2024-10-21,,,100.000,y,31.34,30,30,0,0.00,,,174.06,110.000,n,130.000,20,30,25,,N,8.900,6.909,AA,AA,无担保,,,,szcy,2021年9月2日公告：本次（2021年8月6日至2021年9月2日）不行使提前赎回权利，至2021年12月31日均不提前赎回,,123070,123070,2.1380,380438,370438,,N,N,72.570,buy,,,7.20,N,426018921.0,322161083.0,Y,44.85,146277.50,1.70%,00,buy,buy,buy,14:42:09,223.36,-1.14%,4.929,-12.60%,-13.04%,220.820,220.820,3.00%,268748.61,Y,0,0,G,-,,N,-,buy,-,26-10-19,219.68,26.10,14.06,4.8%,3.6%,"转债占流动市值比：4.8%
转债占总市值比：3.6%",0.00,300438,sz123070,有效期：-；质押代码：123070,123070；2021-04-26 开始转股,全价：220.820 最后更新：14:42:09
