bond_id,bond_nm,stock_id,stock_nm,btype,convert_price,convert_price_valid_from,convert_dt,maturity_dt,next_put_dt,put_dt,put_notes,put_price,put_inc_cpn_fl,put_convert_price_ratio,put_count_days,put_total_days,put_real_days,repo_discount_rt,repo_valid_from,repo_valid_to,turnover_rt,redeem_price,redeem_inc_cpn_fl,redeem_price_ratio,redeem_count_days,redeem_total_days,redeem_real_days,redeem_dt,redeem_flag,orig_iss_amt,curr_iss_amt,rating_cd,issuer_rating_cd,guarantor,ssc_dt,esc_dt,sc_notes,market_cd,force_redeem,real_force_redeem_price,convert_cd,repo_cd,ration,ration_cd,apply_cd,online_offline_ratio,qflag,qflag2,ration_rt,fund_rt,margin_flg,lt_bps,pb,pb_flag,total_shares,float_shares,sqflg,sprice,svolume,sincrease_rt,qstatus,bond_value,bond_value2,volatility_rate,last_time,convert_value,premium_rt,year_left,ytm_rt,ytm_rt_tax,price,full_price,increase_rt,volume,convert_price_valid,adj_scnt,adj_cnt,redeem_icon,ref_yield_info,adjust_tip,adjusted,option_tip,bond_value3,left_put_year,short_maturity_dt,dblow,force_redeem_price,put_convert_price,convert_amt_ratio,convert_amt_ratio2,convert_amt_ratio_tips,stock_net_value,stock_cd,pre_bond_id,repo_valid,convert_cd_tip,price_tips
113634,珀莱转债,sh603605,珀莱雅,C,195.98,,2022-06-14,2027-12-07,2025-12-08,,,100.000,y,65.34,30,30,0,0.00,,,,115.000,n,130.000,15,30,0,,X,7.517,7.517,AA,AA,无,,,,shmb,,,未到转股期,113634,3.7390,753605,754605,,N,N,13.430,-,R,,16.14,N,201009966.0,200662765.0,Y,209.95,32725.16,6.30%,00,buy,buy,buy,,107.13,-6.65%,5.964,3.17%,2.57%,100.000,100.000,0.00%,0.00,Y,0,0,,-,,N,-,buy,-,27-12-07,93.35,254.77,137.19,1.8%,1.8%,"转债占流动市值比：1.8%
转债占总市值比：1.8%",0.00,603605,sh113634,有效期：-；质押代码：113634,未到转股期；2022-06-14 开始转股,待上市
111002,特纸转债,sh605007,五洲特纸,C,18.50,,2022-06-14,2027-12-07,2025-12-08,,,100.000,y,67.87,30,30,0,0.00,,,,112.000,n,130.000,15,30,0,,X,6.700,6.700,AA,AA,无,,,,shmb,,,未到转股期,111002,1.6740,715007,713007,,N,N,91.050,-,,,4.06,N,400010000.0,82360463.0,Y,19.08,8813.90,4.32%,00,buy,buy,buy,,103.14,-3.04%,5.964,2.73%,2.20%,100.000,100.000,0.00%,0.00,Y,0,0,,-,,N,-,buy,-,27-12-07,96.96,24.05,12.95,42.6%,8.8%,"转债占流动市值比：42.6%
转债占总市值比：8.8%",0.00,605007,sh111002,有效期：-；质押代码：111002,未到转股期；2022-06-14 开始转股,待上市
127007,湖广转债,sz000665,湖北广电,C,5.58,2020-07-17,2019-01-04,2024-06-28,2022-06-28,,,100.000,y,55.56,30,30,0,0.00,,,195.72,108.000,n,130.000,15,30,0,,X,17.336,12.161,AA+,AA+,无担保,,,,szmb,,,127007,127007,2.7248,080665,070665,,N,N,16.550,buy,R,,1.16,N,981894666.0,981839961.0,Y,7.03,112322.55,10.02%,00,buy,buy,buy,15:14:03,125.99,-1.95%,2.521,-4.12%,-4.89%,123.530,123.530,4.79%,292830.85,Y,1,1,,-,,N,-,buy,-,24-06-28,121.58,7.25,3.91,17.6%,17.6%,"转债占流动市值比：17.6%
转债占总市值比：17.6%",0.00,000665,sz127007,有效期：-；质押代码：127007,127007；2019-01-04 开始转股,全价：123.530 最后更新：15:14:03
113636,甬金转债,sh603995,甬金股份,C,53.07,,2022-06-17,2027-12-13,2025-12-12,,,100.000,y,68.68,30,30,0,0.00,,,,115.000,n,130.000,15,30,0,,X,10.000,10.000,AA-,AA-,无,,,,shmb,,,未到转股期,113636,4.2890,753995,754995,,N,N,,-,,,3.67,N,233120400.0,111824211.0,Y,54.09,5448.34,2.54%,00,buy,buy,buy,,101.92,-1.89%,5.981,3.23%,2.62%,100.000,100.000,0.00%,0.00,Y,0,0,,-,,N,-,buy,-,27-12-13,98.11,68.99,37.15,16.5%,7.9%,"转债占流动市值比：16.5%
转债占总市值比：7.9%",0.00,603995,sh113636,有效期：-；质押代码：113636,未到转股期；2022-06-17 开始转股,待上市
123131,奥飞转债,sz300738,奥飞数据,C,22.02,,2022-06-09,2027-12-02,2025-12-02,,,100.000,y,69.18,30,30,0,0.00,,,,115.000,n,130.000,15,30,0,,X,6.350,6.350,A+,A+,无,,,,szcy,,,未到转股期,123131,1.6638,380738,370738,,N,N,77.400,-,,,6.04,N,381644654.0,378339854.0,Y,22.28,9332.85,0.41%,00,buy,buy,buy,,101.18,-1.17%,5.951,3.43%,2.78%,100.000,100.000,0.00%,0.00,Y,0,0,,-,,N,-,buy,-,27-12-02,98.83,28.63,15.41,7.5%,7.5%,"转债占流动市值比：7.5%
转债占总市值比：7.5%",0.00,300738,sz123131,有效期：-；质押代码：123131,未到转股期；2022-06-09 开始转股,待上市
128013,洪涛转债,sz002325,洪涛股份,C,2.31,2021-12-13,2017-02-06,2022-07-29,2020-07-29,,,100.000,y,54.08,30,30,0,0.00,,,11.15,108.000,n,130.000,15,30,0,,X,12.000,11.072,A-,A-,无担保,,,,szmb,,,128013,128013,0.9980,082325,072325,10,N,N,,buy,R,,1.32,N,1290625079.0,968331121.0,Y,2.99,10096.83,1.36%,00,buy,buy,buy,15:14:03,129.44,-0.83%,0.603,-26.31%,-28.38%,128.363,128.363,1.05%,15788.61,Y,3,3,,-,,N,-,buy,-,22-07-29,127.53,3.00,1.62,38.2%,28.7%,"转债占流动市值比：38.2%
转债占总市值比：28.7%",0.00,002325,sz128013,有效期：-；质押代码：128013,128013；2017-02-06 开始转股,全价：128.363 最后更新：15:14:03
113637,华翔转债,sh603112,华翔股份,C,12.99,,2022-06-28,2027-12-22,2025-12-22,,,100.000,y,69.57,30,30,0,0.00,,,,115.000,n,130.000,15,30,0,,X,8.000,8.000,AA-,AA-,无,,,,shmb,,,未到转股期,113637,1.8300,753112,754112,,N,N,,-,,,2.87,N,436090490.0,153864926.0,Y,13.07,9420.07,1.08%,00,buy,buy,buy,,100.62,-0.61%,6.000,3.29%,2.66%,100.000,100.000,0.00%,0.00,Y,0,0,,-,,N,-,buy,-,27-12-22,99.39,16.89,9.09,39.8%,14.0%,"转债占流动市值比：39.8%
转债占总市值比：14.0%",0.00,603112,sh113637,有效期：-；质押代码：113637,未到转股期；2022-06-28 开始转股,待上市
123053,宝通转债,sz300031,宝通科技,C,20.73,2021-12-02,2020-12-11,2026-06-04,2024-06-04,,,100.000,y,50.84,30,30,0,0.00,,,199.20,115.000,n,130.000,15,30,19,2021-12-30,Y,5.000,3.860,AA-,AA-,无担保,,,,szcy,"最后交易日：2021年12月30日
最后转股日：2021年12月30日
赎回价：100.458元/张",100.458,123053,123053,1.2983,380031,370031,,N,N,72.459,buy,,,3.36,N,386499884.0,314253206.0,Y,28.54,78351.63,4.20%,00,buy,buy,buy,15:14:03,137.67,-0.56%,4.455,-2.83%,-3.59%,136.910,136.910,3.40%,104312.50,Y,0,0,R,-,,N,-,buy,-,26-06-04,136.35,26.95,14.51,4.3%,3.5%,"转债占流动市值比：4.3%
转债占总市值比：3.5%",0.00,300031,sz123053,有效期：-；质押代码：123053,123053；2020-12-11 开始转股,全价：136.910 最后更新：15:14:03
113528,长城转债,sh603897,长城科技,C,22.35,2021-10-15,2019-09-09,2025-03-01,2023-03-01,,,100.000,y,28.87,30,30,0,0.00,,,67.29,112.000,n,130.000,15,30,22,2021-12-23,Y,6.340,2.134,AA-,AA-,无担保,,,,shmb,"最后交易日：2021年12月23日
最后转股日：2021年12月23日
赎回价：100.980元/张",100.980,113528,113528,3.5530,753897,754897,,N,N,53.900,buy,,,4.60,N,185834028.0,185834028.0,Y,54.19,21926.85,1.06%,00,buy,buy,buy,14:59:59,242.46,-0.34%,3.195,-20.70%,-21.36%,241.640,241.640,2.01%,33962.87,Y,0,0,R,-,,N,-,buy,-,25-03-01,241.30,29.05,15.64,2.1%,2.1%,"转债占流动市值比：2.1%
转债占总市值比：2.1%",0.00,603897,sh113528,有效期：-；质押代码：113528,113528；2019-09-09 开始转股,全价：241.640 最后更新：14:59:59
113607,伟20转债,sh603568,伟明环保,C,21.71,2021-07-06,2021-05-06,2026-11-01,2024-11-01,,,100.000,y,40.84,30,30,0,0.00,,,30.97,110.000,n,130.000,20,30,30,2021-12-28,Y,12.000,1.603,AA,AA,无担保,,,,shmb,"最后交易日：2021年12月28日
最后赎回日：2021年12月28日
赎回价：100.078元/涨",100.078,113607,113607,0.9540,753568,754568,,N,N,91.110,buy,R,,7.60,N,1284764498.0,1284764498.0,Y,37.21,18372.73,-1.61%,00,buy,buy,buy,14:59:59,171.40,-0.33%,4.866,-7.96%,-8.44%,170.830,170.830,-1.75%,8437.02,Y,0,0,R,-,,N,-,buy,-,26-11-01,170.50,28.22,15.20,0.3%,0.3%,"转债占流动市值比：0.3%
转债占总市值比：0.3%",0.00,603568,sh113607,有效期：-；质押代码：113607,113607；2021-05-06 开始转股,全价：170.830 最后更新：14:59:59
