date,min,pt2,pt5,pt10,quartile,median,mean,max
2021-08-13,128.14637376153058,138.07829859689394,142.81048486591052,147.2602275617421,156.34168997108065,168.35601151521863,187.521595107945,633.9781996599816
2021-08-16,128.09911654530057,138.88015887101483,143.3840350870556,147.9407381354783,156.15959832231823,168.04575691871867,186.97749674571898,632.9169346365331
2021-08-17,121.96237301383009,136.85666519202124,142.9158162010512,146.70105266086208,154.813368770759,166.864634052433,185.7056222674554,644.6901028720627
2021-08-18,125.66883404638298,138.01611611183907,142.48277917075993,146.8032944177407,155.2057924546118,167.41809948114667,185.05432905162442,631.3585671502155
2021-08-19,126.71944699491999,138.2788525379137,142.56019840591247,147.1541976809663,155.73219354400797,167.1374141063499,186.07244891417642,643.3929920326777
2021-08-20,126.61160568223984,136.61677598999373,141.76264099486687,146.82715429178722,155.30334718832307,167.65521954393319,185.811266346785,641.6674215561485
2021-08-23,125.8740381016155,138.0531247215588,142.3514003612225,147.02226362963603,156.0867694255404,167.66435279852587,186.83033422857082,619.7726361738148
2021-08-24,126.95042193793219,138.23720182259072,142.50430336933485,147.6262578385894,156.43250176991154,168.58289472440947,187.897749708424,606.5246982406866
2021-08-25,126.47898570951044,139.08121845006232,143.9955958365158,148.19089528373797,156.64851649405668,169.44026079537494,188.9536870948993,605.7780737180111
2021-08-26,112.7769794457526,140.38112825028364,143.86163900621986,148.16749002393323,156.6629962140115,170.7620365978822,189.33964572183234,612.8639066633516
2021-08-27,112.01791031953525,140.0750597212638,144.0061485586968,147.99179061304926,157.13287666845147,172.49506997102793,189.96624913861507,613.5220360396842
2021-08-29,112.01791031953525,140.0750597212638,144.0061485586968,147.99049965478136,157.13287666845147,172.49506997102793,189.96405742473246,613.5220360396842
2021-08-30,119.07224223805531,141.49383070425273,145.9604517416539,149.80822865661122,157.94646099706745,171.63836959039654,191.75625629449405,616.1109340380636
2021-08-31,117.98708998977158,141.34519136055994,145.03476253660295,149.23605096128603,158.06394313057083,171.49354165547874,191.50052796474787,615.0568206907312
2021-09-01,128.0952535798507,140.91021979589897,144.32573452049473,148.25054876219696,154.87715258660404,168.0947006920415,187.4381963372591,611.8996716804759
2021-09-02,129.18481618349392,143.482604634552,146.30442484793264,149.8310870086948,156.81538506299214,169.0217589343915,190.0223294842313,598.900902208526
2021-09-03,130.40494402570312,143.13845904190393,146.3160823895813,149.83821052393913,156.92943355607264,168.58987544299293,189.156164061175,586.6283615294824
2021-09-06,130.648408980684,143.8365991028256,146.30334650752215,149.55532780416445,156.9355522420399,168.58089898307392,189.34318960170071,593.8477150837989
2021-09-07,132.28412674467197,143.8595332737962,147.88588089189602,150.68826149651406,158.46345144033936,169.127235888703,190.7626592057744,604.4033847714048
2021-09-08,133.063904248662,144.1981583373499,148.24411267302244,151.2857938876204,157.11809110332447,169.19229410628571,190.59990389360087,604.4572075043809
2021-09-09,133.30676683087026,143.62364101058168,146.00492810562048,150.43435397787115,157.67355195515688,169.58106254948535,190.45813321594144,637.6728174023499
2021-09-10,133.274620439849,142.07057434708062,145.2890201032755,149.65108391622303,156.4924199733951,169.71673068409405,190.29403615959393,642.5355129100346
2021-09-13,133.85959349761788,141.74972095107574,144.88095274338053,149.10697748419776,156.52174239349694,168.9089294595076,190.4935377428137,676.2121453145603
2021-09-14,131.44926265977838,140.73251601272375,143.2083738133219,148.1045434802427,155.66788582626737,168.19092523574312,190.945202823229,700.9149808711434
2021-09-15,132.45330360115508,139.67499941105555,142.5177073479594,146.56489754772625,154.32122077461506,166.57228893933325,189.7734990441671,670.4959409930973
2021-09-16,130.1374521949137,137.30712915866596,140.89938997377826,143.89265624861596,152.38661622469448,165.29744360902257,185.69528838773368,635.8219237256578
2021-09-17,126.20235325427862,134.94827375991278,139.33677530415525,143.13834040238635,150.57355969061322,164.4883431573215,184.14632930947434,617.8984037126047
2021-09-22,117.19322898267248,134.0956362207535,138.92518976139465,144.10285990174808,150.08514782311332,164.33051997123044,184.87353401802818,629.3110241994027
2021-09-23,113.50812198064797,136.3464655656858,141.24346561384274,145.49334467522618,151.725504592738,165.63587035939673,184.93829247464953,620.1156923374701
2021-09-24,111.69815832357804,136.242961852808,141.23484196534412,146.1989993970205,153.1669379211763,166.19639789726642,185.22095352886734,631.9884387695669
2021-09-25,111.69693264604962,136.24268836676472,141.2336382105978,146.19874230546685,153.16669264603146,166.19639789726642,185.22037016304546,631.9884387695669
2021-09-27,110.7606886929572,134.77749531433716,140.17306631661987,143.66974363438226,152.0442302181124,163.83647773892767,182.515690572255,649.3834623871614
2021-09-28,112.61501637309763,133.9422146697718,139.92322053046004,143.70164392655394,152.58946677136908,163.8218884177377,182.35535496853961,617.6230263196245
2021-09-29,110.94130400206751,134.76830339083907,139.78609684605948,143.82490529951954,152.00226291126825,163.68975615152155,181.1730603255445,636.3090002518258
2021-09-30,113.37033429113278,134.6427431304048,140.0225554090771,144.3356812653238,153.2437049055117,165.78644507525323,182.56389167486122,627.9069223623205
2021-10-08,107.96877408719084,134.65814651213236,139.79608095135188,143.8059963818862,152.1815973934702,164.7743508727341,181.13595551308208,632.1841371605526
2021-10-11,100.7865330832698,132.9678087990815,140.04887080006455,143.74642877860106,152.49786494297243,163.43660882596697,180.60196570339144,631.5249831932773
2021-10-12,114.13602730307076,132.5137107208727,138.04763056097545,142.4647393726884,151.1385310659587,162.41132727042626,178.22931302246778,630.9990965124907
2021-10-13,107.11788945267928,130.7814122177924,136.49229273972807,140.77765595967116,149.93569596232084,161.22418234522945,177.53837454589905,639.0646525524347
