id,name,stock_id,stock_name,price,convert_value,premium_rt,rating_cd,pb,convert_amt_ratio,convert_amt_ratio2,redeem_dt,force_redeem_price,force_redeem
113545,金能转债,603113.ss,金能科技,172.040,162.32,5.99%,AA,1.69,8.3%,7.1%,,13.56,2021年7月16日公告：本次（2021年6月26日至7月16日）不行使金能转债的提前赎回权利，至2021年10月15日前均不提前赎回
128111,中矿转债,002738.sz,中矿资源,426.500,401.56,6.21%,AA-,5.86,0.9%,0.8%,,20.05,2021年1月28日公告，本次（2020年12月17日至2021年1月28日）不行使提前赎回权利不提前赎回，至2022年1月28日前均不提前赎回
113537,文灿转债,603348.ss,文灿股份,173.010,162.09,6.74%,AA-,3.11,1.8%,1.7%,,25.06,2021年4月27日公告：本次不行使文灿转债的提前赎回权利，至2021年7月27日前均不提前赎回
128108,蓝帆转债,002382.sz,蓝帆医疗,120.720,112.94,6.89%,AA,1.64,7.4%,7.4%,,23.71,2021年2月6日公告：本次（2020年12月25日至2021年2月5日）不行使蓝帆转债的提前赎回权利，不提前赎回
123047,久吾转债,300631.sz,久吾高科,233.000,217.90,6.93%,A+,4.98,3.9%,3.8%,,22.66,2021年7月1日公告：本次（2021年5月20日至2021年7月1日）不行使提前赎回权利，不提前赎回
113548,石英转债,603688.ss,石英股份,183.740,171.47,7.16%,AA-,4.53,1.4%,1.4%,,19.41,2021年6月23日公告，本次（2021年05月10日至2021年06月21日）不行使石英转债的提前赎回权利，不提前赎回
128017,金禾转债,002597.sz,金禾实业,166.880,154.48,8.02%,AA,3.69,2.9%,2.9%,,28.56,公司董事会8月12日公告，本次（2020年7月1日至2020年8月11日）不行使金禾转债的提前赎回权利，不提前赎回
110055,伊力转债,600197.ss,伊力特,188.680,174.28,8.26%,AA,3.71,1.8%,1.8%,,21.33,2021年5月13日公告：本次（自2021年4月15日至2021年5月12日）不行使伊力转债提前赎回权利，至2021年11月12日前均不提前赎回
113550,常汽转债,603035.ss,常熟汽饰,155.930,143.84,8.41%,AA-,1.28,4.5%,4.5%,,12.13,公司2021年5月12日公告，本次（2021年4月16日至2021年5月11日）不行使常汽转债的提前赎回权利，2021年11月11日前均不提前赎回
113016,小康转债,601127.ss,小康股份,407.270,372.70,9.28%,AA-,17.90,0.4%,0.3%,,22.05,2021年4月2日公告：本次不行使提前赎回权利，不提前赎回；至2022年4月2日均不提前赎回
110060,天路转债,600326.ss,西藏天路,113.230,103.49,9.41%,AA,1.56,10.4%,10.4%,,9.31,公司2020年8月18日公告，本次（2020年7月7日至2020年8月17日期间）不行使天路转债的提前赎回权，未来三个月也不提前赎回
123025,精测转债,300567.sz,精测电子,137.770,125.58,9.70%,AA-,9.49,2.9%,1.8%,,64.18,2020年7月28日公告，本次（自2020年至6月12日至2020年7月27日）不行使精测转债的提前赎回权利，不提前赎回
123031,晶瑞转债,300655.sz,晶瑞股份,402.010,361.01,11.36%,A+,9.26,0.5%,0.4%,,13.17,2021年6月9日公告，本次（2021年4月24日至2021年6月9日）不行使晶瑞转债的提前赎回权利，不提前赎回
113577,春秋转债,603890.ss,春秋电子,119.150,106.35,12.03%,AA-,2.35,4.0%,4.0%,,14.12,2021年4月7日公告，本次（2021年2月22日至2021年4月2日）不行使春秋转债提前赎回权利，不提前赎回
123012,万顺转债,300057.sz,万顺新材,134.860,120.11,12.28%,AA-,1.20,4.1%,3.0%,,6.85,2020年11月11日公告：本次（2020年9月21日至2020年11月9日）不提前赎回万顺转债，2021年2月9日前均不行使该权利
123027,蓝晓转债,300487.sz,蓝晓科技,331.722,292.90,13.25%,A+,10.02,1.0%,0.6%,,37.73,2021年4月27日公告：本次（2021年3月12日至2021年4月23日）不行使提前赎回权利，2021年7月27日前均不提前赎回
123048,应急转债,300527.sz,中船应急,117.550,102.70,14.46%,AA+,3.18,4.3%,4.3%,,11.57,2020年11月10日公告：本次（2020年10月16日至2020年11月10日）不行使“应急转债”的提前赎回权利，2021年2月10日前均不提前赎回
123030,九洲转债,300040.sz,九洲集团,228.600,197.00,16.04%,AA-,1.76,3.1%,2.3%,,5.20,2021年4月26日公告：本次（2021年3月23日至2021年4月23日期间）暂不行使九洲转债提前赎回权利，至2021年7月26日前均不提前赎回
128119,龙大转债,002726.sz,龙大肉食,117.680,100.00,17.68%,AA,2.57,10.2%,10.1%,,12.19,"2021年2月9日公告：本次（2021年1月18日起至2021年2月9日）已有10个交易
日高于转股价的130%，未来满足条件亦不行使提前赎回权利"
123054,思特转债,300608.sz,思特奇,154.000,127.08,21.19%,AA-,4.16,7.9%,6.2%,,16.42,2021年7月5日公告：本次（2021年6月11日至2021年7月2日）不行使思特转债的提前赎回权利，不提前赎回
113027,华钰转债,601020.ss,ST华钰,114.590,88.69,29.20%,A,1.96,6.5%,6.5%,,13.22,公司8月11日公告决议，本次（2020年6月30日至2020年8月10日）不行使华钰转债的提前赎回权利，不提前赎回
123038,联得转债,300545.sz,联得装备,119.600,91.90,30.14%,A+,4.71,8.4%,3.7%,,31.29,公司9月10日公告：本次（2020年7月28日至2020年9月8日）不行使联得转债的提前赎回权利，不提前赎回
123044,红相转债,300427.sz,红相股份,106.703,68.40,56.00%,AA-,1.91,13.6%,11.9%,,24.27,2020年11月10日公告，本次（2020年10月19日至2020年11月10日）不提前赎回红相转债，2021年1月18日之前均不提前赎回
123034,通光转债,300265.sz,通光线缆,185.280,117.86,57.20%,A+,2.60,2.3%,2.3%,,10.34,公司12月18日公告：本次（2020年11月6日至2020年12月17日）不行使通光转债的提前赎回权利，不提前赎回
113575,东时转债,603377.ss,东方时尚,132.380,79.92,65.65%,AA,3.35,1.4%,1.4%,,15.79,2020年11月4日公告：本次（2020年10月15日至2020年11月4日）不行使东时转债提前赎回权，至2021年2月4日（含）均不提前赎回
123018,溢利转债,300381.sz,溢多利,218.500,118.18,84.88%,AA-,1.58,1.2%,1.1%,,10.72,2021年1月23日公告：本次（2020年12月11日至2021年1月22日）不行使溢利转债的提前赎回权利，不提前赎回
113576,起步转债,603557.ss,ST起步,91.720,46.45,97.48%,A,1.50,11.0%,11.0%,,13.71,2020年11月6日公告，本次（2020年10月16日至2020年11月5日）不行使起步转债的提前赎回权利，不提前赎回
113526,联泰转债,603797.ss,联泰环保,261.740,113.91,129.77%,AA+,2.33,6.2%,4.8%,,7.94,2021年4月15日公告：本次（2021年3月4日至2021年4月15日）不行使转债的提前赎回权利，不提前赎回
113580,康隆转债,603665.ss,康隆达,246.150,91.62,168.67%,AA-,2.06,1.8%,1.8%,,20.16,2020年12月31日公告：本次（2020年12月10日至2020年12月30日）不行使康隆转债的提前赎回权利，不提前赎回
110044,广电转债,600831.ss,广电网络,245.840,80.58,205.09%,AA,1.05,1.8%,1.8%,,8.97,2020年1月8日：公司本次（2019年11月26日至2020年1月7日）不行使广电转债的提前赎回权利，不提前赎回
