date,a,b,c
2021-08-13,0.0034005240961372933,0.0380327037550124,90.55354149417175
2021-08-16,0.0037676481010580896,-0.03160072864736754,93.6717704393352
2021-08-17,0.004622546992014071,-0.19697575614712695,100.49864491151473
2021-08-18,0.00389069915465947,-0.08427317003736147,96.7724020657215
2021-08-19,0.0035750188791219203,-0.02584452272660888,94.39418912618903
2021-08-20,0.003697552098409086,-0.06077354458202594,96.05504099483356
2021-08-22,0.0035750188791219203,-0.02584452272660888,94.39418912618903
2021-08-23,0.003388194270243339,-2.1686719921955846e-05,93.5571594132075
2021-08-24,0.003360941550206094,0.020360608721005143,92.52457105000059
2021-08-25,0.0036504274518848914,-0.027170731060379365,94.67147251359292
2021-08-26,-0.0017569959225942784,0.03902808399758321,0.024425032936473523
2021-08-27,0.0038649479823699676,-0.07118126066230228,96.77824692109824
2021-08-29,0.003860376253953202,-0.0703980573897064,96.74758157085905
2021-08-30,0.0036599653740427246,-0.023520982246305114,94.78080863667202
2021-08-31,0.0036046044594571333,-0.021787757960639906,94.9431159605445
2021-09-01,0.0033140174175392365,0.03090598801809229,92.15746266872566
2021-09-02,0.0034743211035191818,0.011851391286063793,93.0901953932983
2021-09-03,0.0031738721195099444,0.06071427973224989,91.38284425148015
2021-09-06,0.00304756250579525,0.07477611317667739,91.22983227155379
2021-09-07,0.0030808891068994284,0.07383519748258291,91.4312949102545
2021-09-08,0.0030958074678365337,0.07004447245649026,91.94396057451475
2021-09-09,0.0034184187893542685,-0.0016685371804913806,95.36847807206499
2021-09-10,0.003466657133405894,-0.023697506065755315,96.4635526717625
2021-09-13,0.003151983682969454,0.03361015587833566,94.1052124209483
2021-09-14,0.0033083823216409083,0.01415161342329064,93.98468773720177
2021-09-15,0.0033617395151448173,0.0031489855193771064,93.82977749691611
2021-09-16,0.003697353666112095,-0.05223374322919531,95.22204340086003
2021-09-17,0.00371336972923521,-0.06466275452963358,95.63426198157943
2021-09-22,0.0038748088654728882,-0.0841967398158213,96.15111729302608
2021-09-23,0.003551833802734879,-0.024515827791116895,94.31341813620978
2021-09-24,0.0034963677310405885,-0.016494745798491712,94.28979358728714
2021-09-25,0.0034703657265800266,-0.009327050515812821,93.92672047870738
2021-09-27,0.003224500998004162,0.02100670566896685,92.67231165011773
2021-09-28,0.0034669121563988513,-0.03610288212055874,95.63504241119139
2021-09-29,0.0036460648629881914,-0.10021243389375019,99.26326557210628
2021-09-30,0.00334840497686269,-0.022326859989658648,95.7544639294736
2021-10-08,0.0032737747218542584,-0.015011071560280026,95.58827889008657
2021-10-11,0.0031061716546441696,0.016901530612632196,94.06923152671519
2021-10-12,0.0033828432379015574,-0.04145586612355278,96.216941702056
2021-10-13,0.0034457830297456656,-0.0537612797149614,96.24325377237963
2021-10-14,0.0035813450437955285,-0.06901337107354012,96.66341317671667
2021-10-15,0.0034141606941842507,-0.030357112435595454,95.20777472160984
2021-10-18,0.0032535459822212276,0.009728625734737345,93.04479874211783
2021-10-19,0.0032464621464459646,0.017148582592035996,92.94058448489837
2021-10-20,0.003217861272662104,0.026928774273955406,92.56292850368057
2021-10-21,0.0035302135842497813,-0.03928410166645456,95.79303883794489
2021-10-22,0.0030178416741757567,0.04689448706250236,92.47155576410796
2021-10-25,0.0032978305062760917,-0.006387050536055875,94.71921806609465
2021-10-26,0.0030427587359040313,0.04117848498701939,93.03877831785353
2021-10-27,0.0031027359782054365,0.021684037455468368,94.11738713198409
2021-10-28,0.0032723239538937285,-0.014320305230894052,95.89390263073611
2021-10-29,0.0032723239538937363,-0.014320305230895418,95.89390263073616
2021-10-31,0.003474663383597843,-0.04338273562160297,96.65345300838598
2021-11-01,0.003086333462101133,0.03855904739006577,93.17241415578623
2021-11-02,0.0029526851629894787,0.06276295915568803,92.49218157322453
2021-11-03,0.002920015771732756,0.07815388572684724,91.6609715702125
2021-11-04,0.0031864765349236524,0.04256988412052701,93.02350415240669
2021-11-06,0.0029187494488270155,0.08785256804709216,91.27563566095084
2021-11-08,0.003062262910649383,0.06254569421644485,92.64244259073743
2021-11-09,0.0031885820345980047,0.04327354983726349,93.64055575697232
2021-11-10,0.003037760718545225,0.0721347641487312,92.57957452464193
2021-11-11,0.003028375028362864,0.07931067604347505,92.73970352324957
2021-11-12,0.0028682224104148108,0.11991786436904502,90.87435821609874
2021-11-14,0.0032529023193114074,0.042610385164902904,94.29017961171861
2021-11-15,0.0031412492917713007,0.06796486896306723,93.41296808417273
2021-11-16,0.0032672585863645696,0.05191846739694142,93.37881596521156
2021-11-17,0.0033230418416347793,0.03300319243147094,94.36949557975393
2021-11-18,0.003204458934176378,0.05815234052083763,93.37862011315883
2021-11-19,0.0035605187266257456,-0.021537883531979423,97.57525285876933
2021-11-23,0.003311813467692135,0.03891431661626789,95.04456910841067
2021-11-24,0.0028802102561303563,0.13919797244227083,90.28544996547573
2021-11-26,0.0031514105348679463,0.07250803654940616,93.94430896865185
2021-11-29,0.003189551255138523,0.07959520909058711,93.43032681292394
2021-11-30,0.0029811661102045984,0.12622366571710214,91.28995282131302
2021-12-02,0.003357344085624702,0.07856251267261558,92.99286002892593
2021-12-03,0.0034491118249024557,0.061514632314490995,93.7792280345313
